player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
Kyle McCord,145053,QB,SYRACUSE,13,-1.2,2.53,72.3,520,10.5,2.51,36,6.5,63.1,166,6.3,11,17.5,99.8,5.1,32,24,4.0,8.0,76.5,445,8.1,2.42,19,4.0,66.1,141,6.7,10,17.7,92.8,5.2,19,19,3.7,7.4,71.4,148,10.9,2.36,17,10.8,64.9,30,4.0,2,13.3,125.6,2.6,15,5,3.0,9.9,95.6,73,-3.0,1.62,0,0.0,84.9,5,4.6,1,0.0,103.8,0.0,2,0,0.0,8.1
Shedeur Sanders,131396,QB,COLORADO,13,4.55,-2.02,76.8,369,11.6,3.31,26,6.5,68.6,194,3.4,10,19.1,117.3,8.3,33,8,1.6,9.5,79.9,344,9.9,3.17,19,5.1,72.1,160,3.9,8,18.8,114.9,7.4,25,6,1.4,9.2,86.7,137,3.8,2.55,7,4.8,76.6,44,5.4,2,25.0,118.9,6.9,12,2,1.2,7.2,97.3,112,-2.7,1.8,0,0.0,89.3,10,6.5,0,40.0,102.0,3.4,4,0,0.0,5.6
Chandler Morris,122938,QB,N TEXAS,12,4.37,1.14,66.8,390,12.1,2.74,27,6.4,55.4,128,13.3,11,11.7,89.4,3.4,25,23,4.9,7.6,73.2,353,8.5,2.49,19,5.1,61.5,96,12.5,8,10.4,95.8,2.6,24,17,4.1,7.0,73.7,161,8.3,2.31,8,4.6,65.8,34,7.8,4,14.7,95.1,2.9,7,6,3.2,8.2,93.4,124,-2.8,1.42,0,0.0,86.3,2,6.1,1,0.0,107.5,0.0,6,0,0.0,6.7
Garrett Nussmeier,146757,QB,LSU,13,-1.11,0.19,67.5,457,11.5,2.84,26,5.3,60.2,150,6.8,12,10.0,93.4,3.1,26,18,3.5,8.0,70.8,381,9.4,2.62,14,3.5,64.3,113,5.4,11,9.7,92.1,2.7,19,12,2.8,7.6,73.0,144,9.6,2.78,12,7.8,63.2,40,9.0,1,10.0,107.7,2.7,10,6,3.8,7.8,97.0,68,-3.9,1.46,0,0.0,89.7,3,4.7,0,0.0,106.4,0.0,3,0,0.0,6.0
Cade Klubnik,156253,QB,CLEMSON,14,6.81,3.65,70.0,427,11.4,2.8,28,6.3,57.8,163,10.2,6,14.7,103.0,5.0,33,13,2.6,7.9,71.8,322,8.5,2.6,10,3.0,60.2,103,9.3,5,13.6,86.9,4.0,15,5,1.4,6.1,77.4,170,11.1,2.71,18,9.9,67.1,64,7.3,1,17.2,135.9,5.7,21,8,3.9,9.8,96.9,65,-3.0,1.51,0,0.0,93.8,4,1.6,0,25.0,99.9,1.4,3,0,0.0,4.3
Owen McCown,157688,QB,UTSA,13,11.47,1.78,66.5,371,11.3,2.89,19,4.8,55.8,144,11.5,10,17.4,85.2,5.7,19,11,2.4,7.4,69.0,350,8.7,2.6,16,4.3,59.7,124,9.5,8,18.5,86.2,5.6,16,9,2.1,6.9,84.7,118,7.4,2.73,3,2.4,71.2,30,10.6,2,10.0,115.8,2.3,9,2,1.4,8.7,96.8,97,-2.4,1.52,0,0.0,88.7,10,5.5,0,10.0,116.8,1.0,6,0,0.0,7.1
Seth Henigan,144267,QB,MEMPHIS,13,13.37,2.73,70.7,421,10.9,2.98,30,6.7,61.3,135,6.9,6,14.1,96.6,4.1,22,11,2.2,7.7,71.9,395,9.4,2.88,25,6.1,62.5,122,6.4,5,13.1,91.0,3.7,16,11,2.5,6.9,81.7,83,8.0,2.66,5,5.3,75.9,20,6.0,1,15.0,136.4,3.1,9,0,0.0,9.6,94.7,57,-3.1,1.74,0,0.0,91.2,7,3.7,0,0.0,104.5,0.0,3,0,0.0,4.9
Rocco Becht,157567,QB,IOWA STATE,14,-9.43,0.7,67.6,436,10.6,2.74,22,4.7,57.1,154,4.6,9,10.4,91.8,3.3,24,20,3.9,7.8,70.2,329,9.4,2.68,12,3.4,61.7,119,4.2,4,12.6,98.6,4.0,19,14,3.5,7.4,66.7,132,10.9,2.65,10,6.9,52.3,37,4.2,5,2.7,78.8,0.7,6,6,3.9,8.1,95.8,25,-3.1,1.51,0,0.0,92.0,2,0.0,0,0.0,100.7,0.0,1,0,0.0,5.0
Cam Ward,133244,QB,MIAMI FL,13,11.75,-1.11,72.5,375,12.5,3.2,31,7.5,61.9,139,7.6,6,16.5,120.8,5.4,35,17,3.6,10.3,73.4,316,11.0,3.17,26,7.5,63.6,115,6.5,7,18.3,114.3,5.8,26,16,4.1,9.8,83.3,138,7.1,2.35,5,3.4,75.4,30,5.5,0,6.7,132.7,1.3,13,2,1.2,8.7,93.7,79,-2.1,1.5,0,0.0,92.4,6,1.4,1,0.0,102.9,0.0,4,1,1.2,5.9
Behren Morton,144747,QB,TEXAS TECH,12,-7.39,2.76,69.9,388,10.8,2.94,19,4.6,57.5,132,10.4,8,16.7,92.0,5.1,23,15,3.3,7.4,76.6,324,6.7,2.73,9,2.6,65.4,95,8.6,6,17.9,89.5,4.7,14,12,3.2,6.3,68.7,143,12.2,2.69,10,6.7,58.0,38,7.8,2,13.2,112.7,3.3,13,3,1.9,9.1,93.6,79,-2.7,1.52,0,0.0,91.1,1,1.4,0,0.0,107.8,0.0,4,0,0.0,5.8
