player,player_id,position,team_name,player_game_count,base_attempts,base_dropbacks,deep_attempts,deep_completion_percent,deep_accuracy_percent,deep_ypa,deep_big_time_throws,deep_btt_rate,deep_turnover_worthy_plays,deep_twp_rate,deep_interceptions,deep_touchdowns,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_def_gen_pressures,deep_pressure_to_sack_rate,deep_sack_percent,deep_qb_rating,medium_attempts,medium_completion_percent,medium_accuracy_percent,medium_ypa,medium_big_time_throws,medium_btt_rate,medium_turnover_worthy_plays,medium_twp_rate,medium_interceptions,medium_touchdowns,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_def_gen_pressures,medium_pressure_to_sack_rate,medium_sack_percent,medium_qb_rating,short_attempts,short_completion_percent,short_accuracy_percent,short_ypa,short_big_time_throws,short_btt_rate,short_turnover_worthy_plays,short_twp_rate,short_interceptions,short_touchdowns,short_avg_depth_of_target,short_avg_time_to_throw,short_def_gen_pressures,short_pressure_to_sack_rate,short_sack_percent,short_qb_rating,behind_los_attempts,behind_los_completion_percent,behind_los_accuracy_percent,behind_los_ypa,behind_los_big_time_throws,behind_los_btt_rate,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_interceptions,behind_los_touchdowns,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_def_gen_pressures,behind_los_pressure_to_sack_rate,behind_los_sack_percent,behind_los_qb_rating
Kyle McCord,145053,QB,SYRACUSE,13,593,640,78,52.6,55.1,16.3,32,35.2,6,6.6,3,9,27.2,2.69,14,0.0,0.0,120.4,130,54.6,59.2,8.9,4,2.9,10,7.1,6,12,13.4,2.5,35,0.0,0.0,96.2,270,77.8,82.6,6.7,0,0.0,5,1.8,2,11,4.6,2.1,51,0.0,0.0,104.9,74,91.9,97.3,7.2,0,0.0,0,0.0,1,2,-3.4,1.72,7,0.0,0.0,100.1
Shedeur Sanders,131396,QB,COLORADO,13,481,563,75,45.3,49.3,15.8,23,26.1,0,0.0,1,14,29.4,3.4,28,0.0,0.0,126.0,79,68.4,70.9,10.3,3,3.6,4,4.8,5,7,13.8,3.31,35,0.0,0.0,105.1,181,89.5,90.1,8.6,0,0.0,2,1.1,4,11,4.2,2.48,35,0.0,0.0,113.6,116,88.8,97.4,5.0,0,0.0,0,0.0,0,5,-3.2,1.9,17,0.0,0.0,101.8
Chandler Morris,122938,QB,N TEXAS,12,514,562,75,33.3,40.0,10.5,21,23.6,6,6.7,2,7,27.8,2.83,21,0.0,0.0,93.5,133,51.9,60.9,9.3,6,4.2,13,9.0,7,12,13.7,2.69,40,0.0,0.0,92.3,149,71.8,82.6,5.9,0,0.0,2,1.3,2,6,4.6,2.08,21,0.0,0.0,94.2,138,88.4,93.5,6.5,0,0.0,1,0.7,1,6,-3.0,1.63,10,0.0,0.0,105.1
Garrett Nussmeier,146757,QB,LSU,13,525,553,86,36.0,39.5,11.4,25,26.3,4,4.2,2,9,29.7,3.04,28,0.0,0.0,104.9,123,50.4,55.3,8.5,1,0.7,6,4.3,7,7,14.3,2.93,29,0.0,0.0,74.6,210,79.0,83.3,7.2,0,0.0,5,2.3,3,9,3.6,2.47,48,0.0,0.0,104.9,84,91.7,97.6,6.1,0,0.0,0,0.0,0,4,-3.7,1.75,7,0.0,0.0,108.1
Cade Klubnik,156253,QB,CLEMSON,14,492,547,78,44.9,51.3,15.9,27,31.4,6,7.0,3,16,29.9,3.04,26,0.0,0.0,115.1,98,58.2,65.3,9.3,1,0.9,2,1.9,1,8,13.0,2.85,26,0.0,0.0,112.3,198,71.7,78.8,6.1,0,0.0,2,1.0,2,8,4.9,2.27,41,0.0,0.0,96.3,83,89.2,92.8,3.5,0,0.0,0,0.0,0,4,-3.4,1.78,10,0.0,0.0,97.3
Owen McCown,157688,QB,UTSA,13,468,542,64,35.9,45.3,14.6,19,25.0,6,7.9,6,5,30.1,2.91,16,0.0,0.0,71.1,94,52.1,58.5,9.0,0,0.0,4,4.0,3,7,13.7,2.78,23,0.0,0.0,94.5,181,69.6,78.5,5.7,0,0.0,1,0.5,1,7,4.6,2.26,42,0.0,0.0,94.6,107,88.8,92.5,5.7,0,0.0,0,0.0,0,6,-2.8,1.83,10,0.0,0.0,109.2
Seth Henigan,144267,QB,MEMPHIS,13,478,527,84,38.1,44.0,12.5,28,29.2,3,3.1,0,11,29.9,2.86,21,0.0,0.0,125.5,77,53.2,59.7,10.1,2,2.3,3,3.5,2,3,13.8,2.89,18,0.0,0.0,90.8,199,78.9,82.4,6.8,0,0.0,3,1.5,4,8,4.2,2.55,38,0.0,0.0,100.1,89,89.9,94.4,3.6,0,0.0,0,0.0,0,3,-3.7,2.25,13,0.0,0.0,92.9
Rocco Becht,157567,QB,IOWA STATE,14,461,515,57,43.9,43.9,16.3,19,27.9,4,5.9,1,6,28.6,2.91,18,0.0,0.0,118.5,118,54.2,55.9,9.4,3,2.3,5,3.9,4,9,13.4,2.62,27,0.0,0.0,97.6,195,75.4,79.0,6.9,0,0.0,10,4.9,3,9,4.8,2.17,31,0.0,0.0,102.7,40,90.0,97.5,3.3,0,0.0,0,0.0,1,1,-3.5,2.01,8,0.0,0.0,78.3
Cam Ward,133244,QB,MIAMI FL,13,454,511,75,45.3,50.7,15.3,29,34.9,5,6.0,0,14,28.3,3.32,24,0.0,0.0,131.5,114,67.5,71.9,13.3,2,1.5,5,3.8,5,11,14.1,2.89,14,0.0,0.0,124.3,154,76.6,82.5,7.4,0,0.0,2,1.2,1,11,4.4,2.31,31,0.0,0.0,117.7,82,92.7,95.1,6.3,0,0.0,1,1.2,1,3,-3.0,1.94,12,0.0,0.0,100.0
Behren Morton,144747,QB,TEXAS TECH,12,467,509,64,34.4,39.1,11.1,16,21.9,5,6.8,3,8,28.8,3.1,19,0.0,0.0,97.2,99,55.6,61.6,10.0,3,2.9,9,8.7,5,8,13.6,2.89,19,0.0,0.0,95.9,166,75.9,84.9,6.7,0,0.0,0,0.0,0,7,4.6,2.33,28,0.0,0.0,107.4,105,87.6,90.5,4.9,0,0.0,0,0.0,0,4,-3.0,1.87,15,0.0,0.0,99.8
Josh Hoover,127148,QB,TCU,13,474,508,55,49.1,54.5,17.9,17,29.8,5,8.8,4,7,28.1,2.88,16,0.0,0.0,104.4,112,55.4,64.3,10.9,0,0.0,8,6.5,5,12,14.0,2.78,27,0.0,0.0,110.7,194,74.2,81.4,6.4,0,0.0,3,1.5,2,6,4.8,2.12,33,0.0,0.0,96.8,89,91.0,95.5,5.6,0,0.0,0,0.0,0,2,-3.5,1.79,9,0.0,0.0,97.6
Quinn Ewers,127253,QB,TEXAS,14,444,503,55,38.2,43.6,11.6,17,27.0,3,4.8,2,9,32.1,2.97,12,0.0,0.0,106.6,96,52.1,57.3,9.6,3,2.9,6,5.8,5,7,13.9,2.77,23,0.0,0.0,88.3,141,73.8,83.7,7.9,0,0.0,5,3.4,4,10,4.7,2.26,21,0.0,0.0,108.1,125,93.6,95.2,6.4,0,0.0,0,0.0,1,5,-3.6,2.12,24,0.0,0.0,103.3
Jaylen Raynor,172203,QB,ARK STATE,13,421,502,66,27.3,31.8,9.9,14,18.7,5,6.7,6,7,32.0,2.63,23,0.0,0.0,66.0,82,50.0,59.8,7.7,3,3.3,8,8.9,3,5,13.4,2.57,14,0.0,0.0,80.9,194,74.7,79.9,6.6,0,0.0,3,1.5,1,3,4.8,2.29,42,0.0,0.0,94.7,59,94.9,94.9,3.8,0,0.0,0,0.0,0,1,-3.4,1.85,8,0.0,0.0,88.1
Brayden Schager,146078,QB,HAWAII,11,403,498,59,23.7,25.4,8.8,13,20.6,8,12.7,5,7,32.9,3.19,22,0.0,0.0,68.1,84,46.4,59.5,7.3,1,1.1,5,5.5,6,5,13.9,3.03,30,0.0,0.0,61.2,185,72.4,80.5,6.3,0,0.0,1,0.5,2,7,5.0,2.35,39,0.0,0.0,96.9,50,90.0,96.0,5.7,0,0.0,0,0.0,0,0,-3.0,1.72,10,0.0,0.0,90.3
Carson Beck,124010,QB,GEORGIA,13,449,494,73,37.0,46.6,12.0,21,25.9,3,3.7,1,11,28.4,2.98,14,0.0,0.0,116.6,107,57.9,63.6,10.4,2,1.7,10,8.5,8,6,14.2,2.84,22,0.0,0.0,81.4,127,72.4,81.1,6.3,0,0.0,2,1.5,3,8,4.0,2.29,15,0.0,0.0,99.7,119,91.6,96.6,5.7,0,0.0,0,0.0,0,3,-2.9,1.51,5,0.0,0.0,98.9
Dillon Gabriel,86272,QB,OREGON,14,451,492,48,56.3,56.3,20.0,13,23.6,2,3.6,1,8,30.8,3.31,18,0.0,0.0,131.9,76,61.8,69.7,10.9,2,2.4,2,2.4,2,8,14.1,3.3,22,0.0,0.0,123.0,187,77.0,84.0,7.0,0,0.0,4,2.1,3,11,4.3,2.6,34,0.0,0.0,108.4,115,93.9,97.4,6.6,0,0.0,0,0.0,0,3,-3.1,1.75,13,0.0,0.0,102.8
Nicholas Vattiato,145302,QB,MIDDLE TN,12,420,489,58,39.7,39.7,14.2,14,22.2,0,0.0,1,7,30.1,2.96,13,0.0,0.0,119.6,79,58.2,68.4,10.8,2,2.3,7,8.0,5,4,14.0,2.57,19,0.0,0.0,86.2,171,71.3,80.7,6.0,0,0.0,3,1.7,3,5,4.6,2.25,32,0.0,0.0,88.9,86,90.7,94.2,4.4,0,0.0,0,0.0,1,0,-3.3,1.79,8,0.0,0.0,80.2
Noah Fifita,158722,QB,ARIZONA,12,430,488,61,39.3,41.0,13.8,14,22.2,5,7.9,5,9,31.2,3.52,22,0.0,0.0,92.4,76,50.0,53.9,7.9,2,2.4,7,8.2,5,3,13.6,3.42,24,0.0,0.0,62.6,150,80.7,87.3,7.3,0,0.0,0,0.0,1,5,4.6,2.65,28,0.0,0.0,105.6,93,82.8,88.2,4.4,0,0.0,0,0.0,1,1,-3.4,1.99,9,0.0,0.0,84.1
JC French,162521,QB,GA SOUTHRN,13,411,483,49,40.8,42.9,12.6,16,25.8,5,8.1,3,8,29.6,2.58,15,0.0,0.0,102.3,88,54.5,61.4,9.6,2,2.1,4,4.2,3,4,13.6,2.78,21,0.0,0.0,88.6,137,76.6,82.5,6.3,0,0.0,3,2.1,3,3,4.9,2.26,27,0.0,0.0,90.3,109,87.2,89.9,4.7,0,0.0,1,0.9,2,2,-3.5,1.87,13,0.0,0.0,84.7
Riley Leonard,143862,QB,NOTRE DAME,16,405,476,43,46.5,48.8,15.3,16,30.2,4,7.5,4,7,28.9,2.8,10,0.0,0.0,93.8,75,52.0,61.3,7.8,2,2.4,2,2.4,1,8,13.3,2.96,21,0.0,0.0,107.7,180,78.3,83.9,6.9,0,0.0,2,1.1,3,4,4.3,2.35,30,0.0,0.0,95.9,73,94.5,98.6,5.1,0,0.0,0,0.0,0,2,-3.0,1.87,11,0.0,0.0,96.9
Kadin Semonza,174001,QB,BALL ST,12,427,475,43,34.9,39.5,11.0,13,25.0,3,5.8,2,8,28.3,2.76,13,0.0,0.0,97.3,94,50.0,55.3,8.3,3,3.0,3,3.0,3,5,13.6,2.47,25,0.0,0.0,82.7,178,77.5,81.5,6.8,0,0.0,4,2.2,5,9,4.2,2.1,22,0.0,0.0,100.2,83,90.4,94.0,5.6,0,0.0,1,1.2,0,3,-3.0,1.76,10,0.0,0.0,102.2
Jaxson Dart,146409,QB,OLE MISS,13,399,474,88,42.0,47.7,17.2,25,25.8,6,6.2,4,17,31.6,3.06,29,0.0,0.0,109.8,89,70.8,73.0,14.8,5,5.3,4,4.3,2,8,14.5,2.8,23,0.0,0.0,133.8,127,85.0,90.6,8.8,0,0.0,0,0.0,0,3,5.0,2.07,15,0.0,0.0,111.3,72,94.4,97.2,4.5,0,0.0,0,0.0,0,1,-2.9,1.98,7,0.0,0.0,90.2
Cole Snyder,97617,QB,E MICHIGAN,12,405,466,54,35.2,40.7,12.2,18,30.0,5,8.3,2,7,30.7,2.96,15,0.0,0.0,106.3,86,48.8,54.7,7.8,0,0.0,8,8.5,4,2,13.4,2.49,19,0.0,0.0,63.7,162,79.0,83.3,6.8,0,0.0,2,1.2,3,5,4.5,2.12,23,0.0,0.0,97.6,54,94.4,96.3,4.8,0,0.0,0,0.0,0,1,-3.2,1.77,7,0.0,0.0,92.7
Billy Edwards Jr.,144185,QB,MARYLAND,11,423,465,64,29.7,34.4,8.4,17,22.4,5,6.6,1,8,28.2,2.8,30,0.0,0.0,95.1,79,54.4,57.0,9.4,1,1.2,4,4.7,1,3,13.5,2.58,21,0.0,0.0,93.8,169,78.1,84.6,7.4,0,0.0,3,1.7,7,4,4.4,2.07,33,0.0,0.0,88.2,83,95.2,95.2,4.2,0,0.0,0,0.0,0,0,-2.9,1.53,6,0.0,0.0,84.3
E.J. Warner,156185,QB,RICE,11,440,461,45,28.9,33.3,8.5,11,22.9,4,8.3,1,5,25.8,2.62,16,0.0,0.0,90.1,107,45.8,51.4,8.7,2,1.8,7,6.3,7,7,14.0,2.64,36,0.0,0.0,71.1,185,75.1,78.9,5.8,0,0.0,4,2.1,5,5,4.0,2.34,35,0.0,0.0,86.5,76,92.1,93.4,4.5,0,0.0,0,0.0,0,0,-3.4,2.19,13,0.0,0.0,85.3
Fernando Mendoza,158323,QB,CAL,11,390,460,44,40.9,40.9,11.9,12,24.5,5,10.2,1,5,28.1,2.82,13,0.0,0.0,114.2,93,65.6,68.8,10.0,0,0.0,4,3.9,3,6,12.9,2.67,29,0.0,0.0,106.3,173,77.5,82.7,7.0,0,0.0,5,2.8,2,4,4.6,2.19,35,0.0,0.0,98.7,57,91.2,91.2,6.0,0,0.0,0,0.0,0,1,-2.7,1.94,6,0.0,0.0,97.6
