player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa,base_attempts,base_dropbacks_x,deep_attempts,deep_completion_percent,deep_accuracy_percent,deep_ypa,deep_big_time_throws,deep_btt_rate,deep_turnover_worthy_plays,deep_twp_rate,deep_interceptions,deep_touchdowns,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_def_gen_pressures,deep_pressure_to_sack_rate,deep_sack_percent,deep_qb_rating,medium_attempts,medium_completion_percent,medium_accuracy_percent,medium_ypa,medium_big_time_throws,medium_btt_rate,medium_turnover_worthy_plays,medium_twp_rate,medium_interceptions,medium_touchdowns,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_def_gen_pressures,medium_pressure_to_sack_rate,medium_sack_percent,medium_qb_rating,short_attempts,short_completion_percent,short_accuracy_percent,short_ypa,short_big_time_throws,short_btt_rate,short_turnover_worthy_plays,short_twp_rate,short_interceptions,short_touchdowns,short_avg_depth_of_target,short_avg_time_to_throw,short_def_gen_pressures,short_pressure_to_sack_rate,short_sack_percent,short_qb_rating,behind_los_attempts,behind_los_completion_percent,behind_los_accuracy_percent,behind_los_ypa,behind_los_big_time_throws,behind_los_btt_rate,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_interceptions,behind_los_touchdowns,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_def_gen_pressures,behind_los_pressure_to_sack_rate,behind_los_sack_percent,behind_los_qb_rating,base_dropbacks_y,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating,designed_runs,designed_run_rate,scramble_rate,pa_rate,screen_rate,deep_attempt_rate,medium_attempt_rate,short_attempt_rate,behind_los_attempt_rate,pressure_rate,blitz_rate,quick_throw_rate,long_throw_rate,tot_attempts,designed_YPA,pct_total_yards_rushing,qb_designed_run_rate_of_all_plays,rush_attempts_per_game,YAC_per_rush_attempt,qb_rush_attempt_rate
Kyle McCord,145053,SYRACUSE,13,75.2,593,8.8,36,5.7,65.8,171,640,25,246,90.5,87.5,77.4,12,679,101.0,4.5,29,34,24,3.5,4760,8.0,2.83,51.0,2.0,1.0,18.7,29.0,34.0,13.0,0.0,5.0,23.0,6.0,29.0,351.0,121.0,36.0,3.0,155.0,81.0,3.0,0.0,-1.2,2.53,72.3,520,10.5,2.51,36,6.5,63.1,166,6.3,11,17.5,99.8,5.1,32,24,4.0,8.0,76.5,445,8.1,2.42,19,4.0,66.1,141,6.7,10,17.7,92.8,5.2,19,19,3.7,7.4,71.4,148,10.9,2.36,17,10.8,64.9,30,4.0,2,13.3,125.6,2.6,15,5,3.0,9.9,95.6,73,-3.0,1.62,0,0.0,84.9,5,4.6,1,0.0,103.8,0.0,2,0,0.0,8.1,593,640,78,52.6,55.1,16.3,32,35.2,6,6.6,3,9,27.2,2.69,14,0.0,0.0,120.4,130,54.6,59.2,8.9,4,2.9,10,7.1,6,12,13.4,2.5,35,0.0,0.0,96.2,270,77.8,82.6,6.7,0,0.0,5,1.8,2,11,4.6,2.1,51,0.0,0.0,104.9,74,91.9,97.3,7.2,0,0.0,0,0.0,1,2,-3.4,1.72,7,0.0,0.0,100.1,640,250,64.0,73.4,8.6,18,6.8,10,3.5,4,19,9.7,2.2,76,11.8,3.4,110.0,343,67.1,76.5,7.6,18,5.0,14,3.5,8,15,8.2,2.55,95,21.1,5.3,94.4,136,55.9,76.6,6.5,11,7.4,9,4.8,3,3,9.7,3.06,171,17.0,17.0,73.7,457,68.7,74.8,8.5,25,5.2,15,3.0,9,31,8.6,2.16,0,,0.0,109.1,2.41,413,70.5,77.8,7.9,15,3.4,11,2.5,7,24,7.2,1.87,67,10.4,1.7,106.2,178,55.6,68.4,8.3,21,11.1,13,5.6,5,10,13.0,3.51,104,21.2,10.2,90.2,36.0,0.05,0.02,0.25,0.12,0.13,0.22,0.46,0.12,0.27,0.39,0.7,0.3,644.0,0.94,0.03,0.06,3.92,1.59,0.0
Garrett Nussmeier,146757,LSU,13,71.4,525,9.5,26,4.7,64.0,153,553,23,208,84.5,81.3,70.0,12,586,96.4,2.7,15,29,18,3.1,4043,7.7,2.42,25.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,4.0,11.0,5.0,14.0,331.0,84.0,13.0,3.0,93.0,29.0,3.7,,-1.11,0.19,67.5,457,11.5,2.84,26,5.3,60.2,150,6.8,12,10.0,93.4,3.1,26,18,3.5,8.0,70.8,381,9.4,2.62,14,3.5,64.3,113,5.4,11,9.7,92.1,2.7,19,12,2.8,7.6,73.0,144,9.6,2.78,12,7.8,63.2,40,9.0,1,10.0,107.7,2.7,10,6,3.8,7.8,97.0,68,-3.9,1.46,0,0.0,89.7,3,4.7,0,0.0,106.4,0.0,3,0,0.0,6.0,525,553,86,36.0,39.5,11.4,25,26.3,4,4.2,2,9,29.7,3.04,28,0.0,0.0,104.9,123,50.4,55.3,8.5,1,0.7,6,4.3,7,7,14.3,2.93,29,0.0,0.0,74.6,210,79.0,83.3,7.2,0,0.0,5,2.3,3,9,3.6,2.47,48,0.0,0.0,104.9,84,91.7,97.6,6.1,0,0.0,0,0.0,0,4,-3.7,1.75,7,0.0,0.0,108.1,553,205,62.9,72.4,6.8,11,4.9,6,2.6,2,12,8.2,2.43,67,9.0,2.8,98.2,320,64.7,70.7,8.3,15,4.5,12,3.4,10,17,10.2,2.81,86,10.5,2.7,95.2,131,50.4,65.2,6.5,8,5.6,10,6.0,4,5,12.0,3.37,153,9.8,9.8,71.2,394,68.5,73.1,8.1,18,4.3,8,1.9,8,24,8.8,2.39,0,,0.0,104.8,2.67,264,72.3,79.1,7.2,10,3.6,4,1.5,6,19,5.7,1.82,39,2.6,0.4,106.7,261,55.6,63.3,8.2,16,5.7,14,4.5,6,10,13.4,3.46,114,12.3,4.9,85.9,13.0,0.02,0.02,0.27,0.13,0.16,0.23,0.4,0.16,0.28,0.37,0.5,0.5,550.0,0.69,0.02,0.02,1.92,1.16,0.0
Chandler Morris,122938,N TEXAS,12,73.3,514,8.4,27,4.9,62.8,130,562,40,190,78.9,75.8,69.4,12,600,95.6,2.7,15,31,23,3.8,3792,7.4,2.58,52.0,13.0,3.0,18.4,54.0,54.0,36.0,57.1,11.0,15.0,2.0,49.0,286.0,240.0,21.0,4.0,294.0,117.0,5.7,0.0,4.37,1.14,66.8,390,12.1,2.74,27,6.4,55.4,128,13.3,11,11.7,89.4,3.4,25,23,4.9,7.6,73.2,353,8.5,2.49,19,5.1,61.5,96,12.5,8,10.4,95.8,2.6,24,17,4.1,7.0,73.7,161,8.3,2.31,8,4.6,65.8,34,7.8,4,14.7,95.1,2.9,7,6,3.2,8.2,93.4,124,-2.8,1.42,0,0.0,86.3,2,6.1,1,0.0,107.5,0.0,6,0,0.0,6.7,514,562,75,33.3,40.0,10.5,21,23.6,6,6.7,2,7,27.8,2.83,21,0.0,0.0,93.5,133,51.9,60.9,9.3,6,4.2,13,9.0,7,12,13.7,2.69,40,0.0,0.0,92.3,149,71.8,82.6,5.9,0,0.0,2,1.3,2,6,4.6,2.08,21,0.0,0.0,94.2,138,88.4,93.5,6.5,0,0.0,1,0.7,1,6,-3.0,1.63,10,0.0,0.0,105.1,562,153,60.1,67.8,6.8,6,3.7,9,5.1,2,9,9.4,2.39,47,17.0,4.8,94.9,361,64.0,75.6,7.6,21,5.5,14,3.3,10,22,8.0,2.46,83,8.4,1.8,95.9,102,47.1,63.0,6.3,6,5.3,11,7.6,5,5,12.7,3.47,130,10.8,10.8,63.6,412,66.7,75.7,7.6,21,4.8,12,2.6,7,26,7.5,2.13,0,,0.2,103.5,2.45,327,70.3,79.3,7.2,12,3.5,8,2.3,3,20,5.3,1.7,32,6.3,0.6,107.4,184,50.5,62.2,7.8,15,7.4,15,6.0,9,11,14.3,3.56,98,13.3,5.7,76.1,21.0,0.04,0.06,0.31,0.24,0.15,0.26,0.29,0.27,0.23,0.27,0.64,0.36,566.0,2.57,0.07,0.04,4.33,2.25,0.0
Cade Klubnik,156253,CLEMSON,14,73.7,492,9.4,28,5.4,62.6,167,547,29,180,89.3,87.7,67.4,6,571,104.4,4.6,25,36,13,2.3,3642,7.4,6.0,99.0,15.0,2.0,17.9,105.0,346.0,115.0,13.3,19.0,33.0,9.0,55.0,356.0,242.0,72.0,7.0,588.0,290.0,5.9,0.0,6.81,3.65,70.0,427,11.4,2.8,28,6.3,57.8,163,10.2,6,14.7,103.0,5.0,33,13,2.6,7.9,71.8,322,8.5,2.6,10,3.0,60.2,103,9.3,5,13.6,86.9,4.0,15,5,1.4,6.1,77.4,170,11.1,2.71,18,9.9,67.1,64,7.3,1,17.2,135.9,5.7,21,8,3.9,9.8,96.9,65,-3.0,1.51,0,0.0,93.8,4,1.6,0,25.0,99.9,1.4,3,0,0.0,4.3,492,547,78,44.9,51.3,15.9,27,31.4,6,7.0,3,16,29.9,3.04,26,0.0,0.0,115.1,98,58.2,65.3,9.3,1,0.9,2,1.9,1,8,13.0,2.85,26,0.0,0.0,112.3,198,71.7,78.8,6.1,0,0.0,2,1.0,2,8,4.9,2.27,41,0.0,0.0,96.3,83,89.2,92.8,3.5,0,0.0,0,0.0,0,4,-3.4,1.78,10,0.0,0.0,97.3,547,156,57.7,70.0,8.1,12,7.2,7,3.6,0,15,10.2,2.68,69,18.8,7.2,116.1,336,64.9,75.4,7.1,16,4.6,6,1.6,6,21,9.0,2.62,98,12.2,3.3,99.0,124,46.0,62.1,7.2,12,9.1,5,2.8,3,6,13.6,3.56,167,15.0,15.0,76.5,368,68.2,77.1,7.5,16,4.2,8,2.0,3,30,8.2,2.23,0,,0.0,113.8,2.67,272,72.1,80.5,6.3,7,2.5,4,1.4,0,19,5.5,1.81,36,8.3,1.1,111.5,214,52.3,64.4,9.1,21,9.2,9,3.2,6,17,14.8,3.59,131,16.8,8.4,98.2,72.0,0.12,0.05,0.35,0.13,0.16,0.2,0.4,0.17,0.31,0.29,0.55,0.43,591.0,4.81,0.14,0.12,7.07,2.93,0.0
Shedeur Sanders,131396,COLORADO,13,81.8,481,8.1,26,5.0,73.4,204,563,16,198,91.0,90.5,67.4,10,605,116.0,7.3,41,37,8,1.3,4133,8.6,3.7,64.0,10.0,0.0,0.0,0.0,21.0,22.0,0.0,12.0,25.0,7.0,17.0,242.0,284.0,25.0,4.0,305.0,233.0,4.8,0.0,4.55,-2.02,76.8,369,11.6,3.31,26,6.5,68.6,194,3.4,10,19.1,117.3,8.3,33,8,1.6,9.5,79.9,344,9.9,3.17,19,5.1,72.1,160,3.9,8,18.8,114.9,7.4,25,6,1.4,9.2,86.7,137,3.8,2.55,7,4.8,76.6,44,5.4,2,25.0,118.9,6.9,12,2,1.2,7.2,97.3,112,-2.7,1.8,0,0.0,89.3,10,6.5,0,40.0,102.0,3.4,4,0,0.0,5.6,481,563,75,45.3,49.3,15.8,23,26.1,0,0.0,1,14,29.4,3.4,28,0.0,0.0,126.0,79,68.4,70.9,10.3,3,3.6,4,4.8,5,7,13.8,3.31,35,0.0,0.0,105.1,181,89.5,90.1,8.6,0,0.0,2,1.1,4,11,4.2,2.48,35,0.0,0.0,113.6,116,88.8,97.4,5.0,0,0.0,0,0.0,0,5,-3.2,1.9,17,0.0,0.0,101.8,563,145,69.0,78.4,10.1,11,6.9,2,1.1,3,16,10.6,2.92,71,26.8,11.2,129.9,336,75.3,83.3,7.9,15,4.2,6,1.4,7,21,7.1,3.03,133,16.5,5.6,110.0,138,55.1,68.7,8.1,8,4.9,6,2.5,5,12,11.9,4.14,204,19.6,19.6,95.6,343,80.8,86.3,8.8,18,5.1,2,0.5,5,25,6.9,2.35,0,,0.3,121.5,3.0,251,84.1,91.7,7.5,8,3.1,2,0.8,4,20,3.4,1.82,31,9.7,1.2,117.7,229,62.0,70.3,9.9,18,7.1,6,1.8,6,17,13.7,4.01,172,22.1,12.4,108.7,25.0,0.04,0.07,0.28,0.23,0.16,0.16,0.38,0.24,0.36,0.26,0.52,0.48,545.0,0.84,0.07,0.05,4.92,3.64,0.0
Seth Henigan,144267,MEMPHIS,13,73.7,478,9.1,30,5.9,64.9,142,527,21,163,81.7,79.3,66.6,6,558,98.9,3.6,19,25,11,2.0,3505,7.3,4.17,70.0,7.0,3.0,17.7,51.0,147.0,55.0,8.9,11.0,23.0,3.0,23.0,399.0,141.0,43.0,1.0,288.0,117.0,4.1,0.0,13.37,2.73,70.7,421,10.9,2.98,30,6.7,61.3,135,6.9,6,14.1,96.6,4.1,22,11,2.2,7.7,71.9,395,9.4,2.88,25,6.1,62.5,122,6.4,5,13.1,91.0,3.7,16,11,2.5,6.9,81.7,83,8.0,2.66,5,5.3,75.9,20,6.0,1,15.0,136.4,3.1,9,0,0.0,9.6,94.7,57,-3.1,1.74,0,0.0,91.2,7,3.7,0,0.0,104.5,0.0,3,0,0.0,4.9,478,527,84,38.1,44.0,12.5,28,29.2,3,3.1,0,11,29.9,2.86,21,0.0,0.0,125.5,77,53.2,59.7,10.1,2,2.3,3,3.5,2,3,13.8,2.89,18,0.0,0.0,90.8,199,78.9,82.4,6.8,0,0.0,3,1.5,4,8,4.2,2.55,38,0.0,0.0,100.1,89,89.9,94.4,3.6,0,0.0,0,0.0,0,3,-3.7,2.25,13,0.0,0.0,92.9,527,158,60.8,67.3,7.6,9,5.2,3,1.6,3,9,9.8,2.72,61,8.2,2.9,95.4,320,66.9,76.9,7.2,21,6.3,8,2.2,3,16,8.8,2.89,81,17.3,3.9,100.6,111,45.9,62.2,5.7,6,5.0,7,4.6,4,4,10.9,3.48,142,13.4,13.4,61.1,367,70.6,76.6,7.8,24,6.2,4,1.0,2,21,8.7,2.6,0,,0.0,110.3,2.84,214,74.8,79.3,6.9,11,4.9,0,0.0,0,11,5.8,1.95,36,5.6,0.9,110.5,264,56.8,68.6,7.6,19,6.7,11,3.4,6,14,12.0,3.48,106,16.0,5.5,89.5,43.0,0.08,0.05,0.17,0.12,0.18,0.16,0.42,0.19,0.27,0.3,0.45,0.55,548.0,3.42,0.08,0.08,5.38,1.67,0.0
Josh Hoover,127148,TCU,13,76.7,474,8.3,17,3.4,66.2,127,508,31,181,83.5,84.3,53.8,11,532,101.3,3.0,15,27,18,3.4,3952,8.3,2.45,41.0,2.0,0.0,0.0,0.0,10.0,9.0,0.0,2.0,12.0,7.0,12.0,319.0,76.0,24.0,4.0,86.0,45.0,2.1,0.0,1.87,0.52,73.3,394,10.6,2.61,17,4.1,62.4,122,10.5,11,12.3,100.7,3.5,25,18,4.0,8.9,76.2,293,8.6,2.48,11,3.6,65.5,93,9.0,10,10.8,96.9,3.1,18,14,4.2,8.1,77.5,181,7.8,2.4,6,3.2,67.4,34,9.0,1,14.7,108.6,2.6,9,4,2.0,8.7,93.3,80,-3.3,1.58,0,0.0,85.0,5,2.9,0,0.0,98.2,0.0,2,0,0.0,5.6,474,508,55,49.1,54.5,17.9,17,29.8,5,8.8,4,7,28.1,2.88,16,0.0,0.0,104.4,112,55.4,64.3,10.9,0,0.0,8,6.5,5,12,14.0,2.78,27,0.0,0.0,110.7,194,74.2,81.4,6.4,0,0.0,3,1.5,2,6,4.8,2.12,33,0.0,0.0,96.8,89,91.0,95.5,5.6,0,0.0,0,0.0,0,2,-3.5,1.79,9,0.0,0.0,97.6,508,167,66.5,74.1,8.6,6,3.4,4,2.1,4,13,8.1,2.29,62,11.3,3.9,109.2,307,66.1,78.1,8.2,11,3.4,14,4.1,7,14,8.4,2.54,65,12.3,2.4,97.1,97,48.5,62.4,7.5,1,1.0,8,5.9,5,9,10.9,3.32,127,11.8,11.8,83.1,377,70.8,80.0,8.6,16,4.1,10,2.5,6,18,7.7,2.16,0,,0.0,106.0,2.45,290,72.4,80.9,7.5,8,2.6,5,1.6,5,17,5.5,1.78,38,10.5,1.4,106.0,183,56.8,69.5,9.7,9,4.7,13,5.9,6,10,13.1,3.43,89,12.4,5.2,94.4,24.0,0.05,0.03,0.38,0.17,0.12,0.24,0.41,0.19,0.25,0.33,0.61,0.39,515.0,0.42,0.02,0.05,3.15,1.1,0.0
Owen McCown,157688,UTSA,13,72.9,468,8.4,19,3.8,62.6,154,542,32,170,81.4,77.3,73.9,10,575,93.7,4.8,26,25,11,1.9,3425,7.3,2.5,68.0,10.0,2.0,10.7,55.0,102.0,34.0,10.9,14.0,21.0,7.0,75.0,379.0,410.0,25.0,3.0,512.0,170.0,7.5,-4.0,11.47,1.78,66.5,371,11.3,2.89,19,4.8,55.8,144,11.5,10,17.4,85.2,5.7,19,11,2.4,7.4,69.0,350,8.7,2.6,16,4.3,59.7,124,9.5,8,18.5,86.2,5.6,16,9,2.1,6.9,84.7,118,7.4,2.73,3,2.4,71.2,30,10.6,2,10.0,115.8,2.3,9,2,1.4,8.7,96.8,97,-2.4,1.52,0,0.0,88.7,10,5.5,0,10.0,116.8,1.0,6,0,0.0,7.1,468,542,64,35.9,45.3,14.6,19,25.0,6,7.9,6,5,30.1,2.91,16,0.0,0.0,71.1,94,52.1,58.5,9.0,0,0.0,4,4.0,3,7,13.7,2.78,23,0.0,0.0,94.5,181,69.6,78.5,5.7,0,0.0,1,0.5,1,7,4.6,2.26,42,0.0,0.0,94.6,107,88.8,92.5,5.7,0,0.0,0,0.0,0,6,-2.8,1.83,10,0.0,0.0,109.2,542,166,57.8,68.2,6.1,5,2.8,5,2.4,4,14,8.7,2.41,73,19.2,7.3,93.9,302,65.2,75.4,8.0,14,4.4,6,1.6,6,11,8.3,2.75,81,14.8,3.4,93.5,105,51.4,65.9,5.6,5,4.2,6,3.6,5,6,10.3,3.27,154,16.9,16.9,67.4,363,65.8,74.6,7.8,14,3.7,5,1.2,5,19,7.9,2.38,0,,0.0,101.2,2.64,289,67.8,75.7,6.5,5,1.6,5,1.6,4,16,5.6,1.8,54,11.1,2.0,98.4,178,54.5,67.9,8.7,14,7.3,6,2.3,6,9,13.3,3.72,98,20.4,8.3,86.5,25.0,0.04,0.08,0.25,0.21,0.14,0.2,0.39,0.23,0.28,0.31,0.62,0.38,536.0,4.08,0.13,0.05,5.23,2.5,0.01
Behren Morton,144747,TEXAS TECH,12,74.2,467,8.4,19,3.9,63.2,133,509,27,159,79.0,77.9,60.2,8,537,96.6,4.3,22,27,15,2.8,3335,7.1,3.38,38.0,2.0,2.0,29.7,47.0,69.0,13.0,0.0,4.0,8.0,3.0,26.0,333.0,89.0,19.0,1.0,158.0,49.0,4.2,0.0,-7.39,2.76,69.9,388,10.8,2.94,19,4.6,57.5,132,10.4,8,16.7,92.0,5.1,23,15,3.3,7.4,76.6,324,6.7,2.73,9,2.6,65.4,95,8.6,6,17.9,89.5,4.7,14,12,3.2,6.3,68.7,143,12.2,2.69,10,6.7,58.0,38,7.8,2,13.2,112.7,3.3,13,3,1.9,9.1,93.6,79,-2.7,1.52,0,0.0,91.1,1,1.4,0,0.0,107.8,0.0,4,0,0.0,5.8,467,509,64,34.4,39.1,11.1,16,21.9,5,6.8,3,8,28.8,3.1,19,0.0,0.0,97.2,99,55.6,61.6,10.0,3,2.9,9,8.7,5,8,13.6,2.89,19,0.0,0.0,95.9,166,75.9,84.9,6.7,0,0.0,0,0.0,0,7,4.6,2.33,28,0.0,0.0,107.4,105,87.6,90.5,4.9,0,0.0,0,0.0,0,4,-3.0,1.87,15,0.0,0.0,99.8,509,141,63.1,73.3,8.3,4,2.8,3,1.9,2,12,8.8,2.43,48,16.7,5.2,111.6,326,63.2,74.6,6.7,15,4.3,12,3.2,6,15,8.2,2.84,85,16.5,4.0,90.1,101,36.6,53.1,4.1,3,2.8,6,4.3,4,4,10.7,3.65,133,16.5,16.5,46.2,366,70.5,79.0,8.0,16,4.2,9,2.3,4,23,7.8,2.38,0,,0.0,110.5,2.72,274,74.1,83.0,7.5,6,2.1,5,1.8,3,17,5.3,1.8,29,3.4,0.4,111.0,193,47.7,60.6,6.7,13,6.2,10,4.0,5,10,13.1,3.81,104,20.2,9.0,76.1,19.0,0.04,0.04,0.31,0.17,0.14,0.21,0.36,0.22,0.26,0.28,0.59,0.41,505.0,3.63,0.05,0.04,3.17,1.29,0.0
Rocco Becht,157567,IOWA STATE,14,69.3,461,9.8,22,4.5,59.0,156,515,12,183,76.7,69.7,80.8,9,549,92.9,3.1,16,25,20,3.6,3510,7.6,2.78,89.0,7.0,2.0,12.1,47.0,120.0,71.0,0.0,13.0,42.0,4.0,32.0,432.0,268.0,54.0,8.0,388.0,186.0,4.4,0.0,-9.43,0.7,67.6,436,10.6,2.74,22,4.7,57.1,154,4.6,9,10.4,91.8,3.3,24,20,3.9,7.8,70.2,329,9.4,2.68,12,3.4,61.7,119,4.2,4,12.6,98.6,4.0,19,14,3.5,7.4,66.7,132,10.9,2.65,10,6.9,52.3,37,4.2,5,2.7,78.8,0.7,6,6,3.9,8.1,95.8,25,-3.1,1.51,0,0.0,92.0,2,0.0,0,0.0,100.7,0.0,1,0,0.0,5.0,461,515,57,43.9,43.9,16.3,19,27.9,4,5.9,1,6,28.6,2.91,18,0.0,0.0,118.5,118,54.2,55.9,9.4,3,2.3,5,3.9,4,9,13.4,2.62,27,0.0,0.0,97.6,195,75.4,79.0,6.9,0,0.0,10,4.9,3,9,4.8,2.17,31,0.0,0.0,102.7,40,90.0,97.5,3.3,0,0.0,0,0.0,1,1,-3.5,2.01,8,0.0,0.0,78.3,515,175,54.3,61.1,7.1,8,4.2,8,3.8,4,10,10.3,2.4,68,11.8,4.1,86.5,286,61.9,74.3,7.9,14,4.7,12,3.6,5,15,9.5,2.83,88,9.1,2.5,96.9,115,41.7,58.3,6.4,7,5.4,6,3.5,3,8,12.3,3.58,156,10.3,10.3,76.0,346,64.7,72.1,8.0,15,4.1,14,3.7,6,17,9.1,2.27,0,,0.0,98.5,2.69,269,67.3,73.4,7.5,10,3.5,8,2.8,4,20,7.8,1.91,40,2.5,0.4,108.2,188,48.4,62.3,7.9,12,6.0,12,4.8,5,5,13.1,3.61,115,13.0,6.3,73.0,54.0,0.09,0.07,0.29,0.05,0.12,0.26,0.42,0.09,0.3,0.34,0.58,0.41,550.0,2.22,0.1,0.1,6.36,2.09,0.0
