player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Paxton DeLaurent,159618,QB,SE MO ST,13,2.55,365,68.5,76.9,6.0,7,1.8,6,1.6,8,19,6.7,1.82,52,3.8,0.5,92.3,250,46.4,56.9,7.4,20,7.7,12,4.0,7,14,13.6,3.47,110,15.5,5.9,78.7
Kyle McCord,145053,QB,SYRACUSE,13,2.41,413,70.5,77.8,7.9,15,3.4,11,2.5,7,24,7.2,1.87,67,10.4,1.7,106.2,178,55.6,68.4,8.3,21,11.1,13,5.6,5,10,13.0,3.51,104,21.2,10.2,90.2
Zach Calzada,98006,QB,INCAR WORD,14,2.82,283,78.8,82.8,6.3,1,0.3,3,1.0,2,13,3.7,1.73,23,0.0,0.0,105.1,250,49.6,61.3,8.1,22,8.2,11,3.4,7,22,16.1,3.85,124,14.5,6.0,94.7
Shedeur Sanders,131396,QB,COLORADO,13,3.0,251,84.1,91.7,7.5,8,3.1,2,0.8,4,20,3.4,1.82,31,9.7,1.2,117.7,229,62.0,70.3,9.9,18,7.1,6,1.8,6,17,13.7,4.01,172,22.1,12.4,108.7
Miles Hastings,103943,QB,UC DAVIS,14,2.56,268,71.6,81.2,7.6,7,2.5,6,2.1,6,24,5.8,1.89,37,13.5,1.8,114.1,255,69.8,76.9,9.6,7,2.6,11,3.7,7,14,9.9,3.19,88,25.0,7.7,107.1
Chandler Morris,122938,QB,N TEXAS,12,2.45,327,70.3,79.3,7.2,12,3.5,8,2.3,3,20,5.3,1.7,32,6.3,0.6,107.4,184,50.5,62.2,7.8,15,7.4,15,6.0,9,11,14.3,3.56,98,13.3,5.7,76.1
Garrett Nussmeier,146757,QB,LSU,13,2.67,264,72.3,79.1,7.2,10,3.6,4,1.5,6,19,5.7,1.82,39,2.6,0.4,106.7,261,55.6,63.3,8.2,16,5.7,14,4.5,6,10,13.4,3.46,114,12.3,4.9,85.9
Owen McCown,157688,QB,UTSA,13,2.64,289,67.8,75.7,6.5,5,1.6,5,1.6,4,16,5.6,1.8,54,11.1,2.0,98.4,178,54.5,67.9,8.7,14,7.3,6,2.3,6,9,13.3,3.72,98,20.4,8.3,86.5
Cade Klubnik,156253,QB,CLEMSON,14,2.67,272,72.1,80.5,6.3,7,2.5,4,1.4,0,19,5.5,1.81,36,8.3,1.1,111.5,214,52.3,64.4,9.1,21,9.2,9,3.2,6,17,14.8,3.59,131,16.8,8.4,98.2
Seth Henigan,144267,QB,MEMPHIS,13,2.84,214,74.8,79.3,6.9,11,4.9,0,0.0,0,11,5.8,1.95,36,5.6,0.9,110.5,264,56.8,68.6,7.6,19,6.7,11,3.4,6,14,12.0,3.48,106,16.0,5.5,89.5
