player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Kyle McCord,145053,QB,SYRACUSE,13,640,250,64.0,73.4,8.6,18,6.8,10,3.5,4,19,9.7,2.2,76,11.8,3.4,110.0,343,67.1,76.5,7.6,18,5.0,14,3.5,8,15,8.2,2.55,95,21.1,5.3,94.4,136,55.9,76.6,6.5,11,7.4,9,4.8,3,3,9.7,3.06,171,17.0,17.0,73.7,457,68.7,74.8,8.5,25,5.2,15,3.0,9,31,8.6,2.16,0,,0.0,109.1
Shedeur Sanders,131396,QB,COLORADO,13,563,145,69.0,78.4,10.1,11,6.9,2,1.1,3,16,10.6,2.92,71,26.8,11.2,129.9,336,75.3,83.3,7.9,15,4.2,6,1.4,7,21,7.1,3.03,133,16.5,5.6,110.0,138,55.1,68.7,8.1,8,4.9,6,2.5,5,12,11.9,4.14,204,19.6,19.6,95.6,343,80.8,86.3,8.8,18,5.1,2,0.5,5,25,6.9,2.35,0,,0.3,121.5
Chandler Morris,122938,QB,N TEXAS,12,562,153,60.1,67.8,6.8,6,3.7,9,5.1,2,9,9.4,2.39,47,17.0,4.8,94.9,361,64.0,75.6,7.6,21,5.5,14,3.3,10,22,8.0,2.46,83,8.4,1.8,95.9,102,47.1,63.0,6.3,6,5.3,11,7.6,5,5,12.7,3.47,130,10.8,10.8,63.6,412,66.7,75.7,7.6,21,4.8,12,2.6,7,26,7.5,2.13,0,,0.2,103.5
Garrett Nussmeier,146757,QB,LSU,13,553,205,62.9,72.4,6.8,11,4.9,6,2.6,2,12,8.2,2.43,67,9.0,2.8,98.2,320,64.7,70.7,8.3,15,4.5,12,3.4,10,17,10.2,2.81,86,10.5,2.7,95.2,131,50.4,65.2,6.5,8,5.6,10,6.0,4,5,12.0,3.37,153,9.8,9.8,71.2,394,68.5,73.1,8.1,18,4.3,8,1.9,8,24,8.8,2.39,0,,0.0,104.8
Cade Klubnik,156253,QB,CLEMSON,14,547,156,57.7,70.0,8.1,12,7.2,7,3.6,0,15,10.2,2.68,69,18.8,7.2,116.1,336,64.9,75.4,7.1,16,4.6,6,1.6,6,21,9.0,2.62,98,12.2,3.3,99.0,124,46.0,62.1,7.2,12,9.1,5,2.8,3,6,13.6,3.56,167,15.0,15.0,76.5,368,68.2,77.1,7.5,16,4.2,8,2.0,3,30,8.2,2.23,0,,0.0,113.8
Owen McCown,157688,QB,UTSA,13,542,166,57.8,68.2,6.1,5,2.8,5,2.4,4,14,8.7,2.41,73,19.2,7.3,93.9,302,65.2,75.4,8.0,14,4.4,6,1.6,6,11,8.3,2.75,81,14.8,3.4,93.5,105,51.4,65.9,5.6,5,4.2,6,3.6,5,6,10.3,3.27,154,16.9,16.9,67.4,363,65.8,74.6,7.8,14,3.7,5,1.2,5,19,7.9,2.38,0,,0.0,101.2
Seth Henigan,144267,QB,MEMPHIS,13,527,158,60.8,67.3,7.6,9,5.2,3,1.6,3,9,9.8,2.72,61,8.2,2.9,95.4,320,66.9,76.9,7.2,21,6.3,8,2.2,3,16,8.8,2.89,81,17.3,3.9,100.6,111,45.9,62.2,5.7,6,5.0,7,4.6,4,4,10.9,3.48,142,13.4,13.4,61.1,367,70.6,76.6,7.8,24,6.2,4,1.0,2,21,8.7,2.6,0,,0.0,110.3
Rocco Becht,157567,QB,IOWA STATE,14,515,175,54.3,61.1,7.1,8,4.2,8,3.8,4,10,10.3,2.4,68,11.8,4.1,86.5,286,61.9,74.3,7.9,14,4.7,12,3.6,5,15,9.5,2.83,88,9.1,2.5,96.9,115,41.7,58.3,6.4,7,5.4,6,3.5,3,8,12.3,3.58,156,10.3,10.3,76.0,346,64.7,72.1,8.0,15,4.1,14,3.7,6,17,9.1,2.27,0,,0.0,98.5
Cam Ward,133244,QB,MIAMI FL,13,511,160,70.0,77.9,9.7,10,5.6,5,2.5,3,17,9.1,2.64,62,17.7,6.1,128.5,294,65.6,75.7,9.4,21,6.6,13,3.7,4,22,10.1,3.09,83,14.5,3.6,115.2,105,50.5,66.7,7.6,9,7.6,12,7.5,4,9,12.7,4.42,145,15.9,15.9,88.7,349,72.2,78.8,10.1,22,5.9,6,1.5,3,30,9.1,2.34,0,,0.0,129.2
Behren Morton,144747,QB,TEXAS TECH,12,509,141,63.1,73.3,8.3,4,2.8,3,1.9,2,12,8.8,2.43,48,16.7,5.2,111.6,326,63.2,74.6,6.7,15,4.3,12,3.2,6,15,8.2,2.84,85,16.5,4.0,90.1,101,36.6,53.1,4.1,3,2.8,6,4.3,4,4,10.7,3.65,133,16.5,16.5,46.2,366,70.5,79.0,8.0,16,4.2,9,2.3,4,23,7.8,2.38,0,,0.0,110.5
