player,player_id,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr
Bryson Daily,147303,319,48,23,31.7,525,1621,820,37.7,43,131,6,42,650,33,313,32,1654,852,5.2,0.0
Tyler Huff,142567,217,52,19,35.2,511,1273,643,62.8,54,79,10,51,540,179,192,15,1452,763,6.7,
Diego Pavia,156927,194,49,8,23.3,209,622,433,52.0,32,51,7,36,409,276,158,8,898,683,4.6,0.0
Riley Leonard,143862,173,42,6,18.1,178,611,359,67.0,25,68,4,50,435,371,123,17,982,551,5.7,
Blake Horvath,162555,173,32,19,58.0,758,1231,615,71.6,29,67,12,95,432,76,161,17,1307,660,7.6,3.25
Devon Dampier,171556,160,54,18,38.8,459,897,374,96.1,39,72,10,85,422,287,120,19,1184,521,7.4,
Parker Navarro,123758,153,46,14,34.9,386,743,419,87.0,40,60,10,55,410,363,114,18,1106,624,7.2,
Jalen Milroe,146590,150,32,12,40.4,355,679,325,47.1,30,54,11,72,382,200,126,20,879,433,5.9,0.0
John Mateer,158516,149,54,12,33.6,339,607,416,90.2,37,66,3,68,337,401,103,15,1008,702,6.8,
Hunter Watson,183993,149,21,8,24.8,193,612,329,33.7,20,43,8,46,378,166,125,9,778,408,5.2,0.0
Hajj-Malik Williams,102348,144,47,11,32.0,321,534,218,30.3,35,54,8,71,387,469,89,9,1003,656,7.0,0.0
LaNorris Sellers,174326,141,47,7,24.4,208,435,187,48.6,26,46,11,75,363,417,92,7,852,581,6.0,
Brendon Lewis,131687,138,43,11,26.2,247,653,359,98.1,40,59,7,67,368,289,107,8,942,505,6.8,4.5
Braylon Braxton,144442,133,29,7,24.0,159,496,331,44.9,23,41,2,35,319,167,112,4,663,454,5.0,
Ashton Daniels,157259,131,24,8,31.4,252,521,313,56.7,26,34,7,67,239,281,91,3,802,444,6.1,0.0
Taylen Green,145996,129,41,6,16.2,133,409,234,60.4,32,49,12,41,371,414,88,8,823,453,6.4,
Haynes King,124329,123,17,10,39.2,228,531,271,25.7,22,45,8,30,357,50,117,11,581,323,4.7,
Quentin Hayes,186423,122,17,8,32.0,166,474,246,31.9,17,48,5,30,382,44,115,7,518,259,4.2,9.67
Jackson Arnold,173684,118,18,6,23.9,156,363,190,19.7,24,34,10,47,285,290,77,3,653,417,5.5,4.0
Garrett Greene,123420,117,32,12,30.5,259,451,304,82.8,33,43,10,56,366,398,79,6,849,482,7.3,0.0
Jaylen Raynor,172203,116,38,5,19.8,111,259,198,90.2,17,32,6,40,365,303,70,3,562,420,4.8,11.0
C.J. Ogbonna,149182,114,17,4,16.4,72,290,170,25.6,15,25,11,26,471,149,93,8,439,238,3.9,
Avery Johnson,173108,111,22,11,35.5,248,516,177,29.7,31,42,2,33,398,183,88,7,699,265,6.3,
Alonza Barnett III,156710,110,24,8,35.2,235,450,233,52.3,21,38,12,50,380,217,79,7,667,397,6.1,0.0
Ethan Vasko,163817,110,13,5,22.1,101,355,211,22.4,15,38,7,29,371,101,97,5,456,268,4.1,0.0
Cole Snyder,97617,109,8,4,17.2,88,370,122,8.0,16,37,6,29,385,143,78,4,513,208,4.7,0.0
Marcel Reed,175940,108,17,5,14.1,88,309,151,39.3,22,30,6,31,315,313,65,7,622,283,5.8,
