player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Kyle McCord,145053,SYRACUSE,13,75.2,593,8.8,36,5.7,65.8,171,640,25,246,90.5,87.5,77.4,12,679,101.0,4.5,29,15,34,24,3.5,4760,8.0,2.83
Garrett Nussmeier,146757,LSU,13,71.4,525,9.5,26,4.7,64.0,153,553,23,208,84.5,81.3,70.0,12,586,96.4,2.7,15,12,29,18,3.1,4043,7.7,2.42
Chandler Morris,122938,N TEXAS,12,73.3,514,8.4,27,4.9,62.8,130,562,40,190,78.9,75.8,69.4,12,600,95.6,2.7,15,31,31,23,3.8,3792,7.4,2.58
Cade Klubnik,156253,CLEMSON,14,73.7,492,9.4,28,5.4,62.6,167,547,29,180,89.3,87.7,67.4,6,571,104.4,4.6,25,27,36,13,2.3,3642,7.4,6.0
Shedeur Sanders,131396,COLORADO,13,81.8,481,8.1,26,5.0,73.4,204,563,16,198,91.0,90.5,67.4,10,605,116.0,7.3,41,39,37,8,1.3,4133,8.6,3.7
Seth Henigan,144267,MEMPHIS,13,73.7,478,9.1,30,5.9,64.9,142,527,21,163,81.7,79.3,66.6,6,558,98.9,3.6,19,27,25,11,2.0,3505,7.3,4.17
Josh Hoover,127148,TCU,13,76.7,474,8.3,17,3.4,66.2,127,508,31,181,83.5,84.3,53.8,11,532,101.3,3.0,15,17,27,18,3.4,3952,8.3,2.45
Owen McCown,157688,UTSA,13,72.9,468,8.4,19,3.8,62.6,154,542,32,170,81.4,77.3,73.9,10,575,93.7,4.8,26,43,25,11,1.9,3425,7.3,2.5
Behren Morton,144747,TEXAS TECH,12,74.2,467,8.4,19,3.9,63.2,133,509,27,159,79.0,77.9,60.2,8,537,96.6,4.3,22,19,27,15,2.8,3335,7.1,3.38
Rocco Becht,157567,IOWA STATE,14,69.3,461,9.8,22,4.5,59.0,156,515,12,183,76.7,69.7,80.8,9,549,92.9,3.1,16,35,25,20,3.6,3510,7.6,2.78
Cam Ward,133244,MIAMI FL,13,76.5,454,9.8,31,6.3,67.2,145,511,20,217,92.9,91.7,77.8,7,553,119.9,4.5,23,32,39,18,3.3,4313,9.5,5.57
Dillon Gabriel,86272,OREGON,14,81.9,451,7.0,15,3.2,72.3,137,492,23,187,86.8,86.3,61.8,6,515,114.6,3.9,19,22,30,8,1.6,3854,8.5,5.0
Carson Beck,124010,GEORGIA,13,75.1,449,8.8,23,4.8,64.6,105,494,30,179,81.2,80.2,62.2,12,529,97.7,3.6,18,26,28,20,3.8,3466,7.7,2.33
