player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Shedeur Sanders,131396,QB,COLORADO,13,168,10.1,0,143,6,21,6.0,17.3,70.8,4.2,0,44,17,10,29,168,119,7,22,52,44,3,13.1,31.0,17,26.2,1.8
Ethan Garbers,131896,QB,UCLA,11,148,20.3,0,324,4,2,18.9,29.7,87.2,6.1,0,12,30,28,44,148,129,9,20,29,12,4,13.5,19.6,6,8.1,2.7
Brayden Schager,146078,QB,HAWAII,11,142,18.3,0,180,8,9,16.2,16.9,67.6,14.8,0,26,26,23,24,142,96,21,19,29,26,0,13.4,20.4,9,18.3,0.0
Taylen Green,145996,QB,ARKANSAS,13,139,10.1,0,111,6,19,17.3,14.4,72.7,4.3,0,34,14,24,20,139,101,6,10,49,34,2,7.2,35.3,9,24.5,1.4
Cade Klubnik,156253,QB,CLEMSON,14,138,18.1,0,140,7,12,15.9,18.8,78.3,2.9,0,30,25,22,26,138,108,4,27,22,30,4,19.6,15.9,11,21.7,2.9
Kyle McCord,145053,QB,SYRACUSE,13,137,19.0,0,304,8,13,16.1,24.1,78.8,1.5,0,29,26,22,33,137,108,2,22,18,29,2,16.1,13.1,8,21.2,1.5
Jaylen Raynor,172203,QB,ARK STATE,13,136,8.1,0,113,0,18,11.0,33.1,73.5,8.1,0,25,11,15,45,136,100,11,20,23,25,2,14.7,16.9,7,18.4,1.5
Noah Fifita,158722,QB,ARIZONA,12,134,8.2,0,109,11,19,7.5,18.7,66.4,7.5,0,35,11,10,25,134,89,10,18,35,35,3,13.4,26.1,5,26.1,2.2
LaNorris Sellers,174326,QB,S CAROLINA,12,132,15.2,0,289,0,14,13.6,26.5,81.1,6.1,0,19,20,18,35,132,107,8,12,34,19,7,9.1,25.8,5,14.4,5.3
Anthony Colandrea,170131,QB,VIRGINIA,11,132,6.8,0,335,4,10,12.9,20.5,78.0,6.1,0,24,9,17,27,132,103,8,26,35,24,2,19.7,26.5,10,18.2,1.5
Garrett Nussmeier,146757,QB,LSU,13,130,18.5,0,211,7,11,20.8,16.2,76.2,10.0,0,19,24,27,21,130,99,13,12,29,19,2,9.2,22.3,1,14.6,1.5
Rocco Becht,157567,QB,IOWA STATE,14,129,10.1,0,193,3,8,10.9,14.0,78.3,9.3,0,16,13,14,18,129,101,12,30,35,16,5,23.3,27.1,5,12.4,3.9
Tyler Shough,83537,QB,LOUISVILLE,12,127,11.0,0,210,4,19,13.4,17.3,67.7,11.0,0,27,14,17,22,127,86,14,15,25,27,6,11.8,19.7,4,21.3,4.7
Athan Kaliakmanis,144971,QB,RUTGERS,13,127,11.8,0,278,0,8,22.8,16.5,83.5,3.9,0,15,15,29,21,127,106,5,19,31,15,6,15.0,24.4,7,11.8,4.7
Riley Leonard,143862,QB,NOTRE DAME,16,126,7.1,0,258,2,14,9.5,30.2,74.6,10.3,0,21,9,12,38,126,94,13,11,27,21,0,8.7,21.4,5,16.7,0.0
Ben Finley,122864,QB,AKRON,12,126,13.5,0,102,4,10,11.1,24.6,71.4,11.9,0,24,17,14,31,126,90,15,16,23,24,2,12.7,18.3,10,19.0,1.6
Drew Allar,164157,QB,PENN STATE,16,126,22.2,0,266,3,11,13.5,15.9,78.6,7.1,0,21,28,17,20,126,99,9,18,17,20,7,14.3,13.5,7,15.9,5.6
Hank Bachmeier,101284,QB,WAKE,12,126,7.9,0,339,9,11,13.5,10.3,61.9,12.7,0,32,10,17,13,126,78,16,16,23,32,6,12.7,18.3,12,25.4,4.8
Behren Morton,144747,QB,TEXAS TECH,12,124,9.7,0,315,7,10,19.4,24.2,75.8,8.1,0,26,12,24,30,124,94,10,10,24,26,1,8.1,19.4,9,21.0,0.8
Aidan Chiles,173727,QB,MICH STATE,12,124,10.5,0,223,2,7,6.5,29.0,88.7,1.6,0,14,13,8,36,124,110,2,32,35,14,10,25.8,28.2,5,11.3,8.1
Nicholas Vattiato,145302,QB,MIDDLE TN,12,124,8.9,0,224,1,3,18.5,29.0,83.9,8.9,0,10,11,23,36,124,104,11,11,39,10,2,8.9,31.5,6,8.1,1.6
Jaxson Dart,146409,QB,OLE MISS,13,122,15.6,0,226,2,6,13.9,20.5,81.1,7.4,0,15,19,17,25,122,99,9,23,25,15,3,18.9,20.5,7,12.3,2.5
Tucker Gleason,122475,QB,TOLEDO,12,122,8.2,0,316,3,5,13.1,29.5,87.7,3.3,0,11,10,16,36,122,107,4,17,38,11,3,13.9,31.1,3,9.0,2.5
Joey Aguilar,174978,QB,APP STATE,11,122,9.8,0,108,1,15,13.1,21.3,74.6,9.0,0,18,12,16,26,122,91,11,12,35,18,4,9.8,28.7,2,14.8,3.3
Brendon Lewis,131687,QB,NEVADA,12,121,12.4,0,239,3,14,9.9,12.4,76.0,5.8,0,22,15,12,15,121,92,7,11,44,22,5,9.1,36.4,5,18.2,4.1
Fernando Mendoza,158323,QB,CAL,11,121,6.6,0,130,10,10,14.9,24.8,71.9,6.6,0,26,8,18,30,121,87,8,18,29,26,2,14.9,24.0,6,21.5,1.7
Luke Altmyer,146802,QB,ILLINOIS,13,119,11.8,0,187,5,13,16.0,13.4,75.6,5.0,0,24,14,19,16,119,90,6,24,19,24,11,20.2,16.0,6,20.2,9.2
Owen McCown,157688,QB,UTSA,13,118,9.3,0,331,2,6,17.8,25.4,83.9,5.9,0,11,11,21,30,118,99,7,18,28,11,4,15.3,23.7,3,9.3,3.4
Dylan Raiola,183581,QB,NEBRASKA,13,118,11.0,0,238,7,10,7.6,19.5,66.1,15.3,0,24,13,9,23,118,78,18,8,31,24,2,6.8,26.3,7,20.3,1.7
Evan Simon,129906,QB,TEMPLE,9,118,18.6,0,306,7,9,11.9,27.1,82.2,1.7,0,20,22,14,32,118,97,2,15,26,20,5,12.7,22.0,4,16.9,4.2
Cole Snyder,97617,QB,E MICHIGAN,12,117,13.7,0,160,3,9,5.1,25.6,80.3,4.3,0,23,16,6,30,117,94,5,18,32,23,4,15.4,27.4,11,19.7,3.4
Billy Edwards Jr.,144185,QB,MARYLAND,11,114,11.4,0,215,3,3,15.8,30.7,89.5,5.3,0,6,13,18,35,114,102,6,16,32,6,0,14.0,28.1,0,5.3,0.0
JC French,162521,QB,GA SOUTHRN,13,114,7.0,0,174,5,13,8.8,21.9,72.8,4.4,0,26,8,10,25,114,83,5,17,32,26,1,14.9,28.1,8,22.8,0.9
Jacolby Criswell,122830,QB,N CAROLINA,12,113,5.3,0,245,5,11,15.0,15.0,74.3,8.8,0,20,6,17,17,113,84,10,7,42,20,3,6.2,37.2,4,17.7,2.7
Seth Henigan,144267,QB,MEMPHIS,13,113,7.1,0,218,5,13,12.4,16.8,72.6,5.3,0,25,8,14,19,113,82,6,16,30,25,3,14.2,26.5,7,22.1,2.7
Diego Pavia,156927,QB,VANDERBILT,13,112,17.0,0,333,4,6,13.4,15.2,80.4,9.8,0,14,19,15,17,112,90,11,17,26,14,5,15.2,23.2,4,12.5,4.5
Cam Ward,133244,QB,MIAMI FL,13,111,13.5,0,220,2,17,12.6,22.5,75.7,3.6,0,21,15,14,25,111,84,4,20,18,21,5,18.0,16.2,2,18.9,4.5
Sam Leavitt,175465,QB,ARIZONA ST,13,110,8.2,0,110,2,17,10.0,24.5,74.5,4.5,0,24,9,11,27,110,82,5,15,18,24,10,13.6,16.4,5,21.8,9.1
Quinn Ewers,127253,QB,TEXAS,14,110,12.7,0,311,5,7,12.7,11.8,70.9,5.5,0,26,14,14,13,110,78,6,19,24,26,5,17.3,21.8,14,23.6,4.5
Max Brosmer,105568,QB,MINNESOTA,13,109,16.5,0,225,0,4,15.6,15.6,84.4,4.6,0,12,18,17,17,109,92,5,21,28,12,6,19.3,25.7,8,11.0,5.5
Chandler Morris,122938,QB,N TEXAS,12,108,7.4,0,251,1,10,14.8,29.6,80.6,5.6,0,16,8,16,32,108,87,6,14,25,16,2,13.0,23.1,5,14.8,1.9
Jack Lausch,162845,QB,NWESTERN,10,107,13.1,0,256,1,9,16.8,10.3,70.1,13.1,0,18,14,18,11,107,75,14,11,27,18,3,10.3,25.2,8,16.8,2.8
