player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Kyle McCord,145053,QB,SYRACUSE,13,640,73.4,233,250,9.7,2.2,5,18,6.8,64.0,160,76,6.4,266,41.6,11,118,,,,,56.9,91.9,83.2,,90.9,60.0,,79.2,,,4,4,283,11.8,110.0,3.4,9,4,0,8,19,10,3.5,2158,8.6,0,304,58.6,90.5,87.5,77.4,76.5,319,343,8.2,2.55,6,18,5.0,67.1,230,95,5.7,374,58.4,14,128,,,,,62.6,75.9,84.9,,76.2,57.9,,49.2,,,6,8,396,21.1,94.4,5.3,20,11,2,10,15,14,3.5,2602,7.6,74.8,445,457,8.6,2.16,6,25,5.2,68.7,314,0,5.7,469,73.3,19,196,,,,,79.0,90.3,86.2,,89.7,57.9,,52.9,,,0,9,493,,109.1,0.0,0,9,2,4,31,15,3.0,3882,8.5,1,76.6,107,136,9.7,3.06,5,11,7.4,55.9,76,171,7.3,171,26.7,6,50,,,,,27.7,73.9,81.1,,71.6,60.0,,69.6,,,10,3,186,17.0,73.7,17.0,29,6,0,14,3,9,4.8,878,6.5
Shedeur Sanders,131396,QB,COLORADO,13,563,78.4,134,145,10.6,2.92,4,11,6.9,69.0,100,71,4.8,169,30.0,5,57,,,,,74.3,80.9,81.1,,80.1,60.0,,61.0,,,0,3,186,26.8,129.9,11.2,19,5,0,7,16,2,1.1,1467,10.1,1,143,65.4,91.0,90.5,67.4,83.3,317,336,7.1,3.03,4,15,4.2,75.3,253,133,4.2,394,70.0,11,141,,,,,70.8,91.2,85.2,,90.6,,,69.2,,,2,7,419,16.5,110.0,5.6,22,34,1,12,21,6,1.4,2666,7.9,86.3,336,343,6.9,2.35,6,18,5.1,80.8,277,0,4.5,359,63.8,13,141,,,,,77.4,94.1,84.5,,93.0,,,79.6,,,0,5,369,,121.5,0.3,1,14,1,0,25,2,0.5,3016,8.8,7,68.7,115,138,11.9,4.14,2,8,4.9,55.1,76,204,3.8,204,36.2,3,57,,,,,64.3,64.5,82.3,,64.7,60.0,,58.9,,,2,5,236,19.6,95.6,19.6,40,25,0,19,12,6,2.5,1117,8.1
Chandler Morris,122938,QB,N TEXAS,12,562,67.8,146,153,9.4,2.39,2,6,3.7,60.1,92,47,7.1,167,29.7,7,59,,,,,74.1,63.4,80.9,,62.0,55.9,,67.3,,,2,2,178,17.0,94.9,4.8,8,6,1,2,9,9,5.1,1047,6.8,0,251,76.1,78.9,75.8,69.4,75.6,349,361,8.0,2.46,3,21,5.5,64.0,231,83,12.5,395,70.3,33,131,,,,,70.9,81.7,85.3,,80.1,,,63.9,,,2,10,422,8.4,95.9,1.8,7,25,2,5,22,14,3.3,2745,7.6,75.7,403,412,7.5,2.13,3,21,4.8,66.7,275,0,9.8,432,76.9,30,154,,,,,78.5,80.5,85.7,,78.8,55.9,,63.7,,,0,7,455,,103.5,0.2,1,17,3,3,26,12,2.6,3145,7.6,0,63.0,92,102,12.7,3.47,2,6,5.3,47.1,48,130,17.2,130,23.1,10,36,,,,,57.8,63.9,79.9,,61.7,,,65.7,,,4,5,145,10.8,63.6,10.8,14,14,0,4,5,11,7.6,647,6.3
Garrett Nussmeier,146757,QB,LSU,13,553,72.4,192,205,8.2,2.43,1,11,4.9,62.9,129,67,7.2,214,38.7,10,80,,,,,64.2,81.4,82.1,,79.1,,,70.6,,,3,2,232,9.0,98.2,2.8,6,2,0,9,12,6,2.6,1388,6.8,0,211,64.0,84.5,81.3,70.0,70.7,311,320,10.2,2.81,2,15,4.5,64.7,207,86,5.9,339,61.3,13,128,,,,,60.8,79.3,84.3,,78.2,,,59.3,,,0,10,354,10.5,95.2,2.7,9,10,0,7,17,12,3.4,2655,8.3,73.1,391,394,8.8,2.39,2,18,4.3,68.5,270,0,5.6,400,72.3,16,162,,,,,78.1,89.0,85.2,,87.0,,,59.9,,,0,8,420,,104.8,0.0,0,5,0,1,24,8,1.9,3191,8.1,4,65.2,112,131,12.0,3.37,1,8,5.6,50.4,66,153,9.6,153,27.7,7,46,,,,,31.6,62.4,80.5,,60.9,,,65.9,,,3,4,166,9.8,71.2,9.8,15,7,0,15,5,10,6.0,852,6.5
Cade Klubnik,156253,QB,CLEMSON,14,547,70.0,140,156,10.2,2.68,3,12,7.2,57.7,90,69,8.2,180,32.9,8,62,,,,,34.2,71.6,81.2,,71.1,,,59.8,,,2,0,192,18.8,116.1,7.2,13,10,1,10,15,7,3.6,1267,8.1,1,140,52.2,89.3,87.7,67.4,75.4,317,336,9.0,2.62,2,16,4.6,64.9,218,98,8.8,367,67.1,21,118,,,,,77.5,90.9,84.7,,90.4,51.6,,65.6,,,2,6,379,12.2,99.0,3.3,12,17,5,10,21,6,1.6,2375,7.1,77.1,354,368,8.2,2.23,4,16,4.2,68.2,251,0,8.1,380,69.5,22,132,,,,,70.2,88.1,84.9,,87.5,54.3,,50.7,,,1,3,394,,113.8,0.0,0,9,6,3,30,8,2.0,2748,7.5,2,62.1,103,124,13.6,3.56,1,12,9.1,46.0,57,167,10.9,167,30.5,7,48,,,,,44.7,80.9,80.9,,77.8,60.0,,71.1,,,3,3,177,15.0,76.5,15.0,25,18,0,17,6,5,2.8,894,7.2
Owen McCown,157688,QB,UTSA,13,542,68.2,157,166,8.7,2.41,2,5,2.8,57.8,96,73,10.3,192,35.4,11,55,,,,,74.7,66.8,81.6,,65.8,,,62.4,,,2,4,207,19.2,93.9,7.3,14,10,0,5,14,5,2.4,1017,6.1,1,331,75.9,81.4,77.3,73.9,75.4,289,302,8.3,2.75,2,14,4.4,65.2,197,81,9.6,350,64.6,21,115,,,,,69.4,83.0,84.6,,81.1,54.3,,67.6,,,3,6,368,14.8,93.5,3.4,12,33,1,7,11,6,1.6,2408,8.0,74.6,355,363,7.9,2.38,4,14,3.7,65.8,239,0,9.8,388,71.6,26,135,,,,,77.9,84.5,85.1,,82.6,54.3,,66.0,,,0,5,407,,101.2,0.0,0,22,1,3,19,5,1.2,2838,7.8,4,65.9,91,105,10.3,3.27,0,5,4.2,51.4,54,154,10.0,154,28.4,6,35,,,,,59.6,61.3,80.6,,58.7,,,65.6,,,5,5,168,16.9,67.4,16.9,26,21,0,9,6,6,3.6,587,5.6
Seth Henigan,144267,QB,MEMPHIS,13,527,67.3,150,158,9.8,2.72,0,9,5.2,60.8,96,61,5.0,171,32.4,5,62,,,,,74.3,70.2,81.1,,70.7,,,53.9,,,2,3,186,8.2,95.4,2.9,5,8,0,6,9,3,1.6,1200,7.6,0,218,71.5,81.7,79.3,66.6,76.9,299,320,8.8,2.89,1,21,6.3,66.9,214,81,7.0,356,67.6,16,101,,,,,61.6,80.6,84.6,,80.7,54.3,,56.3,,,4,3,372,17.3,100.6,3.9,14,19,0,16,16,8,2.2,2305,7.2,76.6,359,367,8.7,2.6,1,24,6.2,70.6,259,0,5.8,385,73.1,16,131,,,,,77.9,89.0,85.1,,88.1,54.3,,57.4,,,0,2,406,,110.3,0.0,0,15,0,7,21,4,1.0,2873,7.8,0,62.2,90,111,10.9,3.48,0,6,5.0,45.9,51,142,8.9,142,26.9,5,32,,,,,43.6,49.1,80.1,,50.3,,,53.3,,,6,4,152,13.4,61.1,13.4,19,12,0,15,4,7,4.6,632,5.7
Rocco Becht,157567,QB,IOWA STATE,14,515,61.1,157,175,10.3,2.4,7,8,4.2,54.3,95,68,1.0,194,37.7,1,70,,,,,63.3,61.9,81.7,,58.4,60.0,,79.6,,,0,4,212,11.8,86.5,4.1,8,8,0,11,10,8,3.8,1244,7.1,0,193,72.5,76.7,69.7,80.8,74.3,253,286,9.5,2.83,10,14,4.7,61.9,177,88,5.9,321,62.3,11,113,,,,,77.0,78.5,84.1,,75.9,60.0,,69.3,,,0,5,337,9.1,96.9,2.5,8,27,4,19,15,12,3.6,2266,7.9,72.1,326,346,9.1,2.27,12,15,4.1,64.7,224,0,4.7,359,69.7,11,138,,,,,77.5,78.6,84.7,,74.7,60.0,,81.4,,,0,6,377,,98.5,0.0,0,11,4,4,17,14,3.7,2769,8.0,3,58.3,84,115,12.3,3.58,5,7,5.4,41.7,48,156,2.0,156,30.3,1,45,,,,,60.6,58.6,80.8,,55.4,56.8,,66.6,,,0,3,172,10.3,76.0,10.3,16,24,0,26,8,6,3.5,741,6.4
Cam Ward,133244,QB,MIAMI FL,13,511,77.9,149,160,9.1,2.64,0,10,5.6,70.0,112,62,3.4,180,35.2,4,83,,,,66.7,50.3,89.8,81.4,,86.0,84.3,,73.3,,,2,3,198,17.7,128.5,6.1,11,9,0,9,17,5,2.5,1553,9.7,0,220,50.5,92.9,91.7,77.8,75.7,276,294,10.1,3.09,4,21,6.6,65.6,193,83,7.7,331,64.8,16,134,,,,,59.2,92.4,84.3,,91.5,,,74.5,,,1,4,355,14.5,115.2,3.6,12,23,0,13,22,13,3.7,2760,9.4,78.8,344,349,9.1,2.34,3,22,5.9,72.2,252,0,7.0,366,71.6,19,174,,,,,77.7,95.2,84.9,,94.1,54.3,,79.6,,,0,3,392,,129.2,0.0,0,15,0,2,30,6,1.5,3510,10.1,0,66.7,81,105,12.7,4.42,1,9,7.6,50.5,53,145,1.9,145,28.4,1,43,,,,66.7,25.5,61.4,80.4,,56.5,89.5,,68.7,,,3,4,161,15.9,88.7,15.9,23,17,0,20,9,12,7.5,803,7.6
Behren Morton,144747,QB,TEXAS TECH,12,509,73.3,131,141,8.8,2.43,5,4,2.8,63.1,89,48,7.3,155,30.5,7,56,,,,,73.6,80.4,80.3,,81.7,,,46.7,,,0,2,158,16.7,111.6,5.2,8,5,0,5,12,3,1.9,1167,8.3,0,315,74.9,79.0,77.9,60.2,74.6,303,326,8.2,2.84,7,15,4.3,63.2,206,85,8.8,354,69.5,20,103,,,,,69.7,72.1,84.7,,72.5,49.3,,53.6,,,2,6,379,16.5,90.1,4.0,14,14,0,14,15,12,3.2,2168,6.7,79.0,353,366,7.8,2.38,10,16,4.2,70.5,258,0,7.5,376,73.9,21,139,,,,,77.8,90.2,85.0,,90.1,49.3,,51.4,,,0,4,396,,110.5,0.0,0,9,0,3,23,9,2.3,2925,8.0,1,53.1,81,101,10.7,3.65,2,3,2.8,36.6,37,133,14.0,133,26.1,6,20,,,,,57.2,37.8,79.8,,39.1,,,51.2,,,2,4,141,16.5,46.2,16.5,22,10,0,16,4,6,4.3,410,4.1
