player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Bryson Daily,147303,QB,ARMY,13,319,48,23,31.7,525,0,1621,0,0,45,820,37.7,43,131,114,6,112,68.9,91.5,62.8,67.8,,54.7,91.1,60.1,42,3,0,0,1,650,33,6,1,313,32,1654,852,2.67,5.2,0.0,133
Tyler Huff,142567,QB,JVILLE ST,14,217,52,19,35.2,511,1,1273,0,0,36,643,62.8,54,79,196,10,93,55.6,88.7,66.3,75.9,,,85.4,60.0,51,4,0,0,0,540,179,25,0,192,15,1452,763,3.52,6.7,,75
Diego Pavia,156927,QB,VANDERBILT,13,194,49,8,23.3,209,0,622,0,0,30,433,52.0,32,51,333,7,105,66.6,88.0,71.7,85.0,86.8,56.7,73.9,60.3,36,4,0,0,1,409,276,36,0,158,8,898,683,3.52,4.6,0.0,13
Riley Leonard,143862,QB,NOTRE DAME,16,173,42,6,18.1,178,0,611,0,0,28,359,67.0,25,68,258,4,67,71.7,83.5,60.8,73.9,,57.2,82.8,60.0,50,4,-8,1,0,435,371,51,1,123,17,982,551,3.18,5.7,,27
Blake Horvath,162555,QB,NAVY,12,173,32,19,58.0,758,0,1231,1,0,30,615,71.6,29,67,237,12,82,28.5,84.8,66.9,59.8,,51.1,90.6,60.0,95,2,13,1,4,432,76,13,2,161,17,1307,660,3.82,7.6,3.25,35
Devon Dampier,171556,QB,NEW MEXICO,12,160,54,18,38.8,459,0,897,0,0,37,374,96.1,39,72,241,10,77,56.9,89.9,89.9,78.9,,,86.5,60.8,85,4,0,0,0,422,287,40,0,120,19,1184,521,3.26,7.4,,29
Parker Navarro,123758,QB,OHIO,13,153,46,14,34.9,386,0,743,0,0,27,419,87.0,40,60,259,10,50,36.3,81.4,72.1,69.7,,,82.7,60.1,55,2,0,0,0,410,363,39,0,114,18,1106,624,4.08,7.2,,33
Jalen Milroe,146590,QB,ALABAMA,13,150,32,12,40.4,355,0,679,0,0,23,325,47.1,30,54,103,11,67,53.0,87.4,80.6,78.3,,60.0,81.8,60.1,72,5,0,0,1,382,200,24,0,126,20,879,433,2.89,5.9,0.0,27
John Mateer,158516,QB,WASH STATE,12,149,54,12,33.6,339,0,607,0,0,23,416,90.2,37,66,341,3,54,69.1,83.4,72.5,70.8,,84.5,86.2,60.1,68,4,21,0,0,337,401,46,0,103,15,1008,702,4.71,6.8,,18
Hunter Watson,183993,QB,SM HOUSTON,12,149,21,8,24.8,193,0,612,0,0,16,329,33.7,20,43,281,8,78,62.6,69.1,79.7,61.7,62.2,54.3,71.2,60.3,46,3,0,0,1,378,166,24,0,125,9,778,408,2.74,5.2,0.0,25
Hajj-Malik Williams,102348,QB,UNLV,13,144,47,11,32.0,321,0,534,1,0,11,218,30.3,35,54,325,8,45,39.3,76.7,79.8,67.3,,29.7,78.3,60.0,71,2,0,0,3,387,469,55,1,89,9,1003,656,4.56,7.0,0.0,25
LaNorris Sellers,174326,QB,S CAROLINA,12,141,47,7,24.4,208,0,435,0,0,22,187,48.6,26,46,289,11,50,25.5,76.6,63.2,70.6,,,73.8,60.2,75,8,0,0,0,363,417,49,0,92,7,852,581,4.12,6.0,,21
Brendon Lewis,131687,QB,NEVADA,12,138,43,11,26.2,247,0,653,0,0,31,359,98.1,40,59,239,7,59,50.8,90.1,89.1,79.3,81.4,72.4,85.4,60.5,67,2,18,1,4,368,289,32,1,107,8,942,505,3.66,6.8,4.5,21
Braylon Braxton,144442,QB,MARSHALL,11,133,29,7,24.0,159,0,496,0,0,17,331,44.9,23,41,214,2,49,64.4,81.2,87.2,77.6,,,70.9,60.0,35,2,0,0,0,319,167,21,0,112,4,663,454,3.41,5.0,,32
Ashton Daniels,157259,QB,STANFORD,11,131,24,8,31.4,252,0,521,0,0,15,313,56.7,26,34,300,7,53,46.6,71.7,87.4,65.5,,60.0,71.2,60.0,67,0,0,0,1,239,281,40,0,91,3,802,444,3.39,6.1,0.0,20
