team,playerid,name,conference,fumbles_fum,fumbles_lost,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns
Air Force,5151904,John Busha,Mountain West,4.0,2.0,79,29.0,5.0,0.367,1.0,415.0,5.3,78.0,12.0,1.0,172.0,2.2,0.1973,0.5753,0.1131,0.1604,0.182,0.251,0.151,0.303,-0.006,-0.146,0.154,-0.205,-0.083,0.025,0.051,-0.096
Akron,4431091,Ben Finley,Mid-American,5.0,2.0,387,211.0,9.0,0.545,16.0,2581.0,6.7,80.0,33.0,0.0,51.0,0.6,0.5716,0.8555,0.1881,0.5369,0.552,0.689,0.395,0.723,0.283,0.319,0.054,0.086,0.28,0.646,0.132,0.488
Alabama,4432734,Jalen Milroe,SEC,9.0,6.0,319,205.0,11.0,0.643,16.0,2844.0,8.9,168.0,72.0,20.0,726.0,4.3,0.6280,0.9523,0.3670,0.5501,0.594,0.866,0.511,0.850,0.549,0.466,0.724,0.405,0.291,1.053,0.453,0.716
App State,5151948,Joey Aguilar,Sun Belt,3.0,1.0,390,218.0,14.0,0.559,23.0,3002.0,7.7,58.0,49.0,2.0,217.0,3.7,0.4994,0.8622,0.1132,0.4106,0.516,0.657,0.425,0.657,0.446,0.445,0.447,0.037,0.414,1.002,0.266,0.696
Arizona,4801717,Noah Fifita,Big 12,2.0,2.0,430,260.0,12.0,0.605,18.0,2958.0,6.9,66.0,24.0,1.0,17.0,0.3,0.6706,1.0304,0.1279,0.5556,0.704,0.853,0.578,0.844,0.331,0.316,0.516,0.078,0.165,0.902,0.128,0.587
Arizona State,5078810,Sam Leavitt,Big 12,3.0,1.0,350,216.0,6.0,0.617,24.0,2885.0,8.2,110.0,40.0,5.0,443.0,4.0,0.5000,0.9665,0.1779,0.4316,0.545,0.577,0.412,0.691,0.529,0.529,0.54,0.427,0.392,0.891,0.392,0.752
Arkansas,4431325,Taylen Green,SEC,8.0,4.0,381,230.0,9.0,0.604,15.0,3153.0,8.3,156.0,41.0,8.0,602.0,3.9,0.6207,0.9567,0.3007,0.5671,0.620,0.750,0.475,0.795,0.457,0.453,0.471,0.257,0.467,0.764,0.291,0.711
Arkansas State,5080403,Jaylen Raynor,Sun Belt,5.0,2.0,420,259.0,10.0,0.617,16.0,2783.0,6.6,137.0,40.0,3.0,387.0,2.8,0.6207,0.9831,0.2388,0.5177,0.634,0.815,0.549,0.820,0.292,0.31,0.212,-0.015,0.287,0.56,0.193,0.441
Army,4879928,Bryson Daily,American Athletic,5.0,1.0,103,54.0,4.0,0.524,9.0,1007.0,9.8,311.0,42.0,32.0,1653.0,5.3,0.5034,0.8750,0.4417,0.4201,0.510,0.641,0.619,0.552,0.583,0.575,0.586,0.554,0.446,0.694,0.638,0.419
Auburn,4430590,Payton Thorne,SEC,2.0,1.0,317,199.0,9.0,0.628,21.0,2713.0,8.6,112.0,31.0,2.0,283.0,2.5,0.5820,0.9130,0.2387,0.5393,0.571,0.671,0.508,0.714,0.485,0.547,0.24,0.239,0.551,0.667,0.446,0.555
