Abilene Christian,4427966,Maverick McIvor,UAC,5.0,3.0,0.0,,,,,496,312.0,7.0,0.629,30.0,3847.0,7.8,34.0,16.0,0.0,-39.0,-1.1,,,,,,,,,,,,,,,,
Alabama A&M,4568411,Cornelious Brown,SWAC,4.0,0.0,0.0,,,,,222,127.0,7.0,0.572,12.0,1666.0,7.5,49.0,46.0,1.0,161.0,3.3,,,,,,,,,,,,,,,,
Alabama State,5238619,Kareem Keye,SWAC,4.0,3.0,0.0,,,,,140,82.0,4.0,0.586,11.0,1355.0,9.7,45.0,22.0,2.0,55.0,1.2,,,,,,,,,,,,,,,,
Alcorn State,4578894,Xzavier Vaughn,SWAC,4.0,4.0,0.0,-1.0,1.0,0.0,-1.0,182,96.0,6.0,0.527,4.0,980.0,5.4,100.0,39.0,5.0,474.0,4.7,,,,,,,,,,,,,,,,
Arkansas-Pine Bluff,5084305,Mekhi Hagens,SWAC,8.0,2.0,0.0,,,,,294,159.0,5.0,0.541,13.0,2261.0,7.7,98.0,30.0,3.0,143.0,1.5,,,,,,,,,,,,,,,,
Augustana University (SD),5223046,Thomas Scholten,Northern Sun,,,,,,,,18,12.0,1.0,0.667,0.0,55.0,3.1,3.0,7.0,0.0,1.0,0.3,,,,,,,,,,,,,,,,
Austin Peay,4597247,Austin Smith,UAC,3.0,2.0,0.0,,,,,335,211.0,7.0,0.63,15.0,2301.0,6.9,118.0,23.0,4.0,239.0,2.0,,,,,,,,,,,,,,,,
Bethune-Cookman,4565189,Cam Ransom,SWAC,8.0,3.0,0.0,28.0,2.0,0.0,56.0,235,149.0,5.0,0.634,10.0,1682.0,7.2,102.0,29.0,5.0,160.0,1.6,,,,,,,,,,,,,,,,
Black Hills State,4694389,Luke Duby,Rocky Mountain,1.0,0.0,0.0,,,,,36,17.0,2.0,0.472,2.0,160.0,4.4,5.0,2.0,0.0,-20.0,-4.0,,,,,,,,,,,,,,,,
Brown,4876457,Jake Willcox,Ivy,4.0,1.0,0.0,,,,,330,215.0,13.0,0.652,9.0,2085.0,6.3,70.0,21.0,2.0,298.0,4.3,,,,,,,,,,,,,,,,
Bryant,4427354,Jarrett Guest,CAA,1.0,0.0,0.0,,,,,283,171.0,5.0,0.604,12.0,1686.0,6.0,45.0,18.0,0.0,74.0,1.6,,,,,,,,,,,,,,,,
Bucknell,4875855,Ralph Rucker,Patriot,5.0,3.0,0.0,,,,,362,243.0,7.0,0.671,25.0,2800.0,7.7,87.0,19.0,4.0,105.0,1.2,,,,,,,,,,,,,,,,
Buffalo,4877296,CJ Ogbonna,Mid-American,8.0,3.0,0.0,,,,,336,190.0,5.0,0.565,19.0,2381.0,7.1,122.0,26.0,8.0,346.0,2.8,,,,,,,,,,,,,,,,
Buffalo State,5233759,Noah Kimble,Liberty League,,,,,,,,18,8.0,1.0,0.444,0.0,60.0,3.3,1.0,5.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,
Butler,5087031,Reagan Andrew,Pioneer,3.0,0.0,0.0,,,,,214,139.0,6.0,0.65,11.0,1701.0,7.9,102.0,41.0,7.0,519.0,5.1,,,,,,,,,,,,,,,,
Cal Poly,5083145,Bo Kelly,Big Sky,1.0,0.0,0.0,,,,,139,91.0,3.0,0.655,5.0,959.0,6.9,15.0,8.0,0.0,-2.0,-0.1,,,,,,,,,,,,,,,,
Campbell,5086046,Chad Mascoe II,CAA,5.0,3.0,0.0,,,,,169,116.0,5.0,0.686,12.0,1553.0,9.2,65.0,12.0,1.0,100.0,1.5,,,,,,,,,,,,,,,,
Catawba,4570154,Preston Brown,South Atlantic,,,,,,,,33,22.0,1.0,0.667,2.0,181.0,5.5,7.0,7.0,0.0,-9.0,-1.3,,,,,,,,,,,,,,,,
Central Arkansas,4384603,Will McElvain,UAC,5.0,2.0,0.0,,,,,257,169.0,6.0,0.658,14.0,1958.0,7.6,36.0,18.0,0.0,-23.0,-0.6,,,,,,,,,,,,,,,,
Central Connecticut,4683471,Brady Olson,NEC,3.0,2.0,0.0,,,,,349,182.0,11.0,0.521,17.0,2173.0,6.2,58.0,11.0,3.0,147.0,2.5,,,,,,,,,,,,,,,,
Central State (OH),4574792,Kendall Boney,SIAC,1.0,0.0,0.0,,,,,31,11.0,1.0,0.355,0.0,119.0,3.8,7.0,10.0,1.0,16.0,2.3,,,,,,,,,,,,,,,,
Central Washington,5165011,Kennedy McGill,Lone Star,,,,,,,,24,12.0,1.0,0.5,0.0,87.0,3.6,13.0,49.0,0.0,126.0,9.7,,,,,,,,,,,,,,,,
Charleston Southern,5087870,Kaleb Jackson,Big South-OVC,1.0,0.0,0.0,,,,,131,69.0,4.0,0.527,5.0,826.0,6.3,50.0,18.0,2.0,111.0,2.2,,,,,,,,,,,,,,,,
Chattanooga,4569414,Chase Artopoeus,Southern,1.0,0.0,0.0,,,,,232,138.0,6.0,0.595,11.0,1940.0,8.4,37.0,32.0,6.0,104.0,2.8,,,,,,,,,,,,,,,,
Clark Atlanta,5237718,David Wright Iii,SIAC,1.0,0.0,0.0,,,,,49,30.0,1.0,0.612,4.0,374.0,7.6,10.0,24.0,0.0,21.0,2.1,,,,,,,,,,,,,,,,
Colgate,5089309,Jake Stearney,Patriot,2.0,2.0,0.0,,,,,290,189.0,11.0,0.652,11.0,1788.0,6.2,34.0,27.0,1.0,62.0,1.8,,,,,,,,,,,,,,,,
Columbia,5154125,Chase Goodwin,Ivy,2.0,1.0,0.0,,,,,117,77.0,3.0,0.658,6.0,840.0,7.2,27.0,14.0,1.0,63.0,2.3,,,,,,,,,,,,,,,,
Cornell,4878197,Jameson Wang,Ivy,,,,,,,,368,238.0,11.0,0.647,24.0,2413.0,6.6,106.0,30.0,7.0,493.0,4.7,,,,,,,,,,,,,,,,
