player_id,player_name,team,conference,qb_profile,cluster,passing_att,passing_pct,passing_yds,passing_td,rushing_car,rushing_yds,rushing_td,rushing_ypc,usage.pass,usage.rush,usage.passingDowns,usage.thirdDown,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.passingDowns
5151904,John Busha,Air Force,Mountain West,Pure Game-Managers,3,79,0.367,415.0,1.0,78.0,172.0,1.0,2.2,0.5753,0.1131,0.303,0.251,-0.006,-0.146,0.154,-0.096
4431091,Ben Finley,Akron,Mid-American,High-Volume Dual-Threat,2,387,0.545,2581.0,16.0,80.0,51.0,0.0,0.6,0.8555,0.1881,0.723,0.689,0.283,0.319,0.054,0.488
4432734,Jalen Milroe,Alabama,SEC,Balanced Dual-Threat,0,319,0.643,2844.0,16.0,168.0,726.0,20.0,4.3,0.9523,0.367,0.85,0.866,0.549,0.466,0.724,0.716
5151948,Joey Aguilar,App State,Sun Belt,High-Volume Dual-Threat,2,390,0.559,3002.0,23.0,58.0,217.0,2.0,3.7,0.8622,0.1132,0.657,0.657,0.446,0.445,0.447,0.696
4801717,Noah Fifita,Arizona,Big 12,High-Volume Dual-Threat,2,430,0.605,2958.0,18.0,66.0,17.0,1.0,0.3,1.0304,0.1279,0.844,0.853,0.331,0.316,0.516,0.587
5078810,Sam Leavitt,Arizona State,Big 12,Pro-Style Starters,4,350,0.617,2885.0,24.0,110.0,443.0,5.0,4.0,0.9665,0.1779,0.691,0.577,0.529,0.529,0.54,0.752
4431325,Taylen Green,Arkansas,SEC,Balanced Dual-Threat,0,381,0.604,3153.0,15.0,156.0,602.0,8.0,3.9,0.9567,0.3007,0.795,0.75,0.457,0.453,0.471,0.711
5080403,Jaylen Raynor,Arkansas State,Sun Belt,High-Volume Dual-Threat,2,420,0.617,2783.0,16.0,137.0,387.0,3.0,2.8,0.9831,0.2388,0.82,0.815,0.292,0.31,0.212,0.441
4430590,Payton Thorne,Auburn,SEC,High-Volume Dual-Threat,2,317,0.628,2713.0,21.0,112.0,283.0,2.0,2.5,0.913,0.2387,0.714,0.671,0.485,0.547,0.24,0.555
5150611,Jake Retzlaff,BYU,Big 12,High-Volume Dual-Threat,2,367,0.575,2896.0,19.0,100.0,417.0,6.0,4.2,1.0051,0.2154,0.67,0.675,0.387,0.389,0.382,0.532
5091890,Kadin Semonza,Ball State,Mid-American,High-Volume Dual-Threat,2,427,0.644,2900.0,25.0,54.0,-81.0,1.0,-1.5,1.0108,0.0776,0.759,0.813,0.347,0.355,0.19,0.556
4432759,Sawyer Robertson,Baylor,Big 12,Pro-Style Starters,4,368,0.622,3071.0,28.0,63.0,230.0,4.0,3.7,0.9415,0.1137,0.616,0.556,0.568,0.572,0.542,0.748
4870513,Maddux Madsen,Boise State,Mountain West,Pro-Style Starters,4,396,0.624,3018.0,23.0,57.0,221.0,5.0,3.9,1.0047,0.0948,0.712,0.709,0.572,0.541,0.832,0.504
4567707,Grayson James,Boston College,ACC,Situational Scramblers,5,166,0.639,1202.0,6.0,37.0,79.0,3.0,2.1,0.5153,0.0641,0.412,0.379,0.373,0.351,0.496,0.584
4426444,Connor Bazelak,Bowling Green,Mid-American,High-Volume Dual-Threat,2,402,0.669,3044.0,18.0,48.0,-91.0,2.0,-1.9,0.991,0.0777,0.67,0.684,0.406,0.405,0.428,0.467
4837248,Fernando Mendoza,California,ACC,High-Volume Dual-Threat,2,386,0.687,3004.0,16.0,87.0,105.0,2.0,1.2,0.8598,0.1409,0.638,0.691,0.425,0.418,0.53,0.498
4683291,Joey Labas,Central Michigan,Mid-American,Pure Game-Managers,3,160,0.588,1114.0,7.0,21.0,19.0,0.0,0.9,0.5418,0.0386,0.327,0.348,0.222,0.215,0.3,0.2
5138131,Deshawn Purdie,Charlotte,American Athletic,Situational Scramblers,5,200,0.5,1802.0,10.0,41.0,-130.0,1.0,-3.2,1.0851,0.0852,0.698,0.781,0.276,0.306,-0.124,0.188
4899046,Brendan Sorsby,Cincinnati,Big 12,Balanced Dual-Threat,0,389,0.64,2813.0,18.0,106.0,445.0,9.0,4.2,1.022,0.2549,0.808,0.813,0.439,0.39,0.637,0.711
4685413,Cade Klubnik,Clemson,ACC,Pro-Style Starters,4,486,0.634,3639.0,36.0,119.0,462.0,7.0,3.9,0.9292,0.236,0.72,0.747,0.443,0.439,0.463,0.829
4832918,Ethan Vasko,Coastal Carolina,Sun Belt,Balanced Dual-Threat,0,271,0.546,2120.0,14.0,107.0,447.0,5.0,4.2,0.7978,0.2309,0.57,0.699,0.451,0.444,0.47,0.515
4432762,Shedeur Sanders,Colorado,Big 12,Pro-Style Starters,4,477,0.74,4134.0,37.0,100.0,-50.0,4.0,-0.5,1.0589,0.2267,0.919,0.865,0.523,0.538,0.405,0.679
4833597,Brayden Fowler-Nicolosi,Colorado State,Mountain West,High-Volume Dual-Threat,2,374,0.607,2755.0,14.0,43.0,80.0,4.0,1.9,0.9974,0.0998,0.763,0.729,0.419,0.471,-0.013,0.612
4685497,Maalik Murphy,Duke,ACC,Situational Pocket QBs,1,421,0.603,2932.0,26.0,19.0,-79.0,2.0,-4.2,0.9383,0.0407,0.664,0.719,0.48,0.488,0.252,0.699
4795295,Katin Houser,East Carolina,American Athletic,Pro-Style Starters,4,245,0.608,2006.0,18.0,49.0,170.0,4.0,3.5,0.5415,0.1077,0.372,0.412,0.636,0.657,0.537,0.801
4570057,Cole Snyder,Eastern Michigan,Mid-American,High-Volume Dual-Threat,2,402,0.595,2676.0,15.0,136.0,322.0,4.0,2.4,0.9206,0.2437,0.708,0.684,0.274,0.3,0.169,0.566
5079555,D.J. Lagway,Florida,SEC,Pure Triple-Option,6,192,0.599,1915.0,12.0,51.0,101.0,0.0,2.0,1.2022,0.1781,0.891,0.951,0.444,0.512,0.069,0.478
4700135,Cam Fancher,Florida Atlantic,American Athletic,Situational Scramblers,5,212,0.594,1528.0,6.0,99.0,365.0,3.0,3.7,0.6432,0.1848,0.524,0.526,0.282,0.23,0.507,0.514
5085337,Keyone Jenkins,Florida International,Conference USA,High-Volume Dual-Threat,2,304,0.618,2557.0,22.0,75.0,130.0,2.0,1.7,0.9796,0.1906,0.648,0.692,0.411,0.508,-0.034,0.493
4429020,D.J. Uiagalelei,Florida State,ACC,Pure Game-Managers,3,156,0.538,1065.0,4.0,37.0,-8.0,0.0,-0.2,0.43,0.0795,0.313,0.35,0.196,0.204,0.142,0.601
4597499,Mikey Keene,Fresno State,Mountain West,Situational Pocket QBs,1,392,0.704,2887.0,18.0,47.0,-192.0,0.0,-4.1,0.9535,0.0771,0.759,0.761,0.275,0.356,-0.651,0.489
4430841,Carson Beck,Georgia,SEC,Pro-Style Starters,4,448,0.647,3485.0,28.0,55.0,71.0,1.0,1.3,0.895,0.1167,0.652,0.683,0.443,0.488,0.013,0.618
4685345,JC French,Georgia Southern,Sun Belt,High-Volume Dual-Threat,2,410,0.656,2831.0,17.0,118.0,238.0,2.0,2.0,0.9632,0.2464,0.73,0.81,0.319,0.324,0.299,0.391
4432612,Christian Veilleux,Georgia State,Sun Belt,Situational Scramblers,5,291,0.57,2047.0,13.0,28.0,74.0,1.0,2.6,0.6688,0.0592,0.496,0.557,0.333,0.341,0.208,0.783
