name,team,passing_att,passing_completions,passing_pct,passing_td,passing_int,passing_yds,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,fumbles_fum,fumbles_lost,fumbles_rec
Dillon Gabriel,Oregon,447.0,326.0,0.729,30.0,6.0,3857.0,8.6,75.0,149.0,7.0,2.0,54.0,3.0,2.0,0.0
Shedeur Sanders,Colorado,477.0,353.0,0.74,37.0,10.0,4134.0,8.7,100.0,-50.0,4.0,-0.5,17.0,4.0,1.0,0.0
Kurtis Rourke,Indiana,320.0,222.0,0.694,29.0,5.0,3042.0,9.5,46.0,-35.0,2.0,-0.8,12.0,5.0,2.0,0.0
Jaxson Dart,Ole Miss,398.0,276.0,0.693,29.0,6.0,4279.0,10.8,124.0,495.0,3.0,4.0,35.0,2.0,0.0,0.0
Kyle McCord,Syracuse,592.0,391.0,0.66,34.0,12.0,4779.0,8.1,67.0,-65.0,3.0,-1.0,29.0,5.0,0.0,0.0
John Mateer,Washington State,347.0,224.0,0.646,29.0,7.0,3139.0,9.0,178.0,826.0,15.0,4.6,68.0,5.0,2.0,0.0
Bryson Daily,Army,103.0,54.0,0.524,9.0,4.0,1007.0,9.8,311.0,1653.0,32.0,5.3,42.0,5.0,1.0,0.0
Cade Klubnik,Clemson,486.0,308.0,0.634,36.0,6.0,3639.0,7.5,119.0,462.0,7.0,3.9,55.0,7.0,1.0,0.0
Will Howard,Ohio State,423.0,309.0,0.73,35.0,10.0,4010.0,9.5,105.0,226.0,7.0,2.2,19.0,7.0,1.0,0.0
Sam Leavitt,Arizona State,350.0,216.0,0.617,24.0,6.0,2885.0,8.2,110.0,443.0,5.0,4.0,40.0,,,
Drew Allar,Penn State,394.0,262.0,0.665,24.0,8.0,3327.0,8.4,96.0,302.0,6.0,3.1,22.0,3.0,2.0,0.0
Lanorris Sellers,South Carolina,300.0,197.0,0.657,18.0,7.0,2527.0,8.4,165.0,681.0,7.0,4.1,75.0,10.0,6.0,0.0
Diego Pavia,Vanderbilt,298.0,177.0,0.594,20.0,4.0,2293.0,7.7,193.0,800.0,8.0,4.1,36.0,5.0,2.0,0.0
Riley Leonard,Notre Dame,403.0,269.0,0.667,21.0,8.0,2861.0,7.1,184.0,906.0,17.0,4.9,50.0,2.0,1.0,0.0
Blake Horvath,Navy,139.0,80.0,0.576,13.0,4.0,1353.0,9.7,176.0,1254.0,17.0,7.1,95.0,6.0,3.0,0.0
Quinn Ewers,Texas,445.0,293.0,0.658,31.0,12.0,3472.0,7.8,57.0,-82.0,2.0,-1.4,26.0,6.0,5.0,0.0
Haynes King,Georgia Tech,269.0,196.0,0.729,14.0,2.0,2114.0,7.9,126.0,577.0,11.0,4.6,30.0,6.0,2.0,0.0
Tyler Shough,Louisville,389.0,244.0,0.627,23.0,6.0,3195.0,8.2,42.0,19.0,1.0,0.5,46.0,1.0,1.0,0.0
Brady Cook,Missouri,320.0,200.0,0.625,11.0,2.0,2525.0,7.9,87.0,223.0,5.0,2.6,31.0,3.0,1.0,0.0
